strategy,replicate,run_seed,step,generation_before,number_phenotyped_before,action,action_name,reward,event
linear_q_learning,1,30001,1,1,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,2,1,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,3,1,50,3,Highest-GEBV batch,2.0751677049860255,generation_finalized
linear_q_learning,1,30001,4,2,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,5,2,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,6,2,50,3,Highest-GEBV batch,2.0634535997538066,generation_finalized
linear_q_learning,1,30001,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,8,3,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,9,3,50,3,Highest-GEBV batch,2.04004289451544,generation_finalized
linear_q_learning,1,30001,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,11,4,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,12,4,50,0,Random batch,1.607457581447325,generation_finalized
linear_q_learning,1,30001,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,14,5,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,15,5,50,0,Random batch,2.0233404031188273,generation_finalized
linear_q_learning,1,30001,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,17,6,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,18,6,50,0,Random batch,0.17352118069732927,generation_finalized
linear_q_learning,1,30001,19,7,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,20,7,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,21,7,50,0,Random batch,2.017677049606496,generation_finalized
linear_q_learning,1,30001,22,8,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,1,30001,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,1,30001,24,8,50,0,Random batch,1.59437897355094,generation_finalized
linear_q_learning,2,30002,1,1,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,2,1,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,2,30002,3,1,50,3,Highest-GEBV batch,2.089323471908911,generation_finalized
linear_q_learning,2,30002,4,2,0,0,Random batch,0.0,phenotype_batch
