strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,episode_step
active_learning_pev,1,1,500,75,0.15,1,75,75,0.11272959534028265,20,-0.1075076288816323,0.9535162127165757,0.1947466219303809,0.3022542508120132,-0.004281212486266959,1.1100829341405076,0.10322641639536534,0.3874260270386003,0.49454260600032285,75.0,30001,30001,50.0,25.0,True,0.05536002283158458,0.11272959534028265,
active_learning_pev,1,2,500,75,0.15,1,75,75,0.46095082181186264,20,-0.004281212486266959,1.1100829341405076,1.3418549984640473,1.3461362109503143,1.326063056666866,0.4982525345056413,1.330344269153133,0.3048010710044764,0.38188748399261385,150.0,30001,30002,50.0,25.0,True,0.4267608068960505,0.46095082181186264,
active_learning_pev,1,3,500,75,0.15,1,75,75,0.22530148597141372,20,1.326063056666866,0.4982525345056413,0.027536155416095793,-1.2985269012507703,1.3473247139697224,0.6084888224745559,0.02126165730285634,0.24204747303156182,0.29477741004666314,225.0,30001,30003,50.0,25.0,True,0.21511842497818262,0.22530148597141372,
active_learning_pev,1,4,500,75,0.15,1,75,75,-0.08920413489443771,20,1.3473247139697224,0.6084888224745559,0.24962286929175917,-1.0977018446779632,1.457410163713079,0.500093177857509,0.11008544974335654,0.1972208580118604,0.2533623699564487,300.0,30001,30004,50.0,25.0,True,0.06188609847525045,-0.08920413489443771,
active_learning_pev,1,5,500,75,0.15,1,75,75,-0.05141548256228903,20,1.457410163713079,0.500093177857509,0.19686834025065042,-1.2605418234624286,1.704532813179312,0.6737440743330486,0.24712264946623308,0.14364337298320606,0.20785037998575717,375.0,30001,30005,50.0,25.0,True,0.007603845637049339,-0.05141548256228903,
active_learning_pev,1,6,500,75,0.15,1,75,75,-0.032229977980992884,20,1.704532813179312,0.6737440743330486,-0.13313683311261876,-1.8376696462919309,1.5976732637848494,0.4288906391948705,-0.10685954939446263,0.1830744439503178,0.2398832690087147,450.0,30001,30006,50.0,25.0,True,-0.2694918210560784,-0.032229977980992884,
active_learning_pev,1,7,500,75,0.15,1,75,75,0.07548075544432077,20,1.5976732637848494,0.4288906391948705,-0.2400826776346665,-1.837755941419516,1.3148382624213388,0.2588904797664678,-0.2828350013635106,0.13539719302207232,0.1931835199939087,525.0,30001,30007,50.0,25.0,True,0.04620485511629735,0.07548075544432077,
active_learning_pev,1,8,500,75,0.15,1,75,75,0.37300412174945563,20,1.3148382624213388,0.2588904797664678,0.5415548722706462,-0.7732833901506926,1.8904169264710171,0.14176008780307991,0.5755786640496783,0.13066893798531964,0.1887353790225461,600.0,30001,30008,50.0,25.0,True,0.0758671494653715,0.37300412174945563,
diversity_sampling,1,1,500,75,0.15,1,75,75,0.05185536164885721,20,-0.10750762888163229,0.9535162127165758,-0.5684691270586875,-0.4609614981770552,-0.521346173527084,1.0121966154954338,-0.4138385446454517,0.207279224996455,0.10802579001756385,75.0,30001,30001,,,,,,
diversity_sampling,1,2,500,75,0.15,1,75,75,0.30682922903788323,20,-0.521346173527084,1.0121966154954338,-0.358493541975373,0.16285263155171104,-0.33259811060158406,0.38268556068089754,0.18874806292549995,0.14117461896967143,0.06538976996671408,150.0,30001,30002,,,,,,
diversity_sampling,1,3,500,75,0.15,1,75,75,0.23197237519652514,20,-0.33259811060158406,0.38268556068089754,-0.08824885452505526,0.2443492560765288,-0.11148076352962202,0.5719741766320827,0.22111734707196204,0.08234067296143621,0.042043746972922236,225.0,30001,30003,,,,,,
diversity_sampling,1,4,500,75,0.15,1,75,75,0.028232576629312923,20,-0.11148076352962202,0.5719741766320827,-0.2946203748954824,-0.18313961136586035,-0.2836072388300409,0.4567768629915161,-0.17212647530041889,0.057522382005117834,0.03652409999631345,300.0,30001,30004,,,,,,
