strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
active_learning_pev,1,30001,8,600,-0.1075076288816323,1.8904169264710171,1.9979245553526495,0.24974056941908118,0.5039635218372523,0.3329874258921083,10.495076741096653,0.13432714810995197,0.37300412174945563,-0.08920413489443771,0.46095082181186264,0.20285928969723968,0.9535162127165757,0.14176008780307991,0.14867087304074697,-0.09790117335898593,600.0,0.21553492212842684,0.2817778022508719,0.0774136727929635,0.13432714810995197,2.254222418006975
active_learning_pev,2,30002,8,600,-0.18162254825809987,-0.36659951689167125,-0.18497696863357138,-0.023122121079196423,0.26440534430114043,-0.030829494772261896,-0.36560453504749557,0.040020940874411104,0.32540412176650246,-0.34864354931333846,0.32540412176650246,0.23314197531747305,0.9366901329390922,0.12585960042461622,0.13436631389475753,-0.1056169245041914,600.0,0.22038784962205682,0.2830718104960397,0.0613433104305623,0.040020940874411104,2.2645744839683175
active_learning_pev,3,30003,8,600,-0.12222805433604182,3.015635685279016,3.1378637396150575,0.39223296745188224,0.5199734101553973,0.5229772899358429,18.017896516720853,0.1530801226550726,0.18698839643396148,-0.2852387515386738,0.49435755146177385,0.24368040729614737,0.9583081974328178,0.05543164980036725,0.057843238687576064,-0.15455433858815754,600.0,0.20819501186633715,0.28718993486108957,0.12447663198339104,0.1530801226550726,2.2975194788887165
active_learning_pev,4,30004,8,600,-0.11527598875911042,0.3227668978750117,0.43804288663412216,0.054755360829265264,0.3265627946670421,0.07300714777235369,1.234159834047927,0.0617559329279351,0.2064462661937885,-0.30058202351356117,0.28532563879629264,0.23705227268570897,0.9122437426261061,0.20126854764558455,0.22063023097992007,-0.09256296873312586,600.0,0.23320522488211282,0.30707287537370576,0.00685396849336644,0.0617559329279351,2.456583002989646
active_learning_pev,5,30005,8,600,-0.16874556459073284,2.2584495439198937,2.4271951085106265,0.3033993885638283,0.43650569946936535,0.4045325180851044,16.09311178885776,0.17787974358757588,-0.06821248133591154,-0.06821248133591154,0.47233801733007397,0.16739491805039258,0.9186011247010438,0.2897554626738869,0.3154312082604809,-0.07865451681967703,600.0,0.228480286517879,0.29431411874247715,0.14618009388604547,0.17787974358757588,2.354512949939817
active_learning_pev,6,30006,8,600,-0.13424140778442212,3.140305772797565,3.2745471805819872,0.4093183975727484,0.4920145378219069,0.5457578634303313,13.657178705663876,0.31391755261189175,0.34817196273843787,-0.025907427842449007,0.6069093831312464,0.19654273657402185,1.0181977430476035,0.050373288249955475,0.04947299146350631,-0.1338324511789617,600.0,0.20786761999625014,0.2903685813653283,0.3507259338201065,0.31391755261189175,2.3229486509226263
active_learning_pev,7,30007,8,600,-0.13346250577962326,2.279760799406098,2.4132233051857215,0.3016529131482152,0.4278600442256451,0.40220388419762026,13.863273582686524,0.14435905299760338,0.1953834490764344,-0.26865547327414774,0.4750635387169505,0.23132669468810294,0.937775281438865,0.10946626283968804,0.11672973793010379,-0.1343787783304669,600.0,0.20270514112053206,0.27910091725789243,0.05787697474239359,0.14435905299760338,2.2328073380631395
active_learning_pev,8,30008,8,600,-0.17662318517595765,1.3366425911837228,1.5132657763596804,0.18915822204496002,0.3124787667061322,0.25221096272661336,6.107130726090862,0.17684980375782972,0.47138492217587363,-0.13529400903363922,0.47138492217587363,0.21708862553225158,0.9215156781712853,0.10848168882515519,0.11772093670770006,-0.1037192731649023,600.0,0.21630174674646696,0.28406072698999196,0.10949412855105338,0.17684980375782972,2.2724858159199357
active_learning_pev,9,30009,8,600,-0.14714781314480654,3.2985343111630026,3.445682124307809,0.43071026553847613,0.5711811126988179,0.5742803540513015,18.484670139031188,0.21349999292824764,-0.0687416630116055,-0.08335931363912964,0.5008883447225986,0.22036573361448905,0.9541386343219832,0.09876171126280014,0.10350876456541436,-0.11459605277302364,600.0,0.19743291799386498,0.26512924073904287,0.18538384081825696,0.21349999292824764,2.121033925912343
active_learning_pev,10,30010,8,600,-0.12821328541740717,2.435672533713133,2.5638858191305403,0.32048572739131753,0.5793154708268947,0.4273143031884234,16.804284452355716,0.1239239112642668,-0.3325646038196139,-0.3325646038196139,0.556111324837815,0.2593222338840882,0.908373259157212,0.17526190693212443,0.19294040766318055,-0.10095313340241431,600.0,0.2275800429924857,0.29261123399192,0.13296673652825777,0.1239239112642668,2.34088987193536
active_learning_pev,11,30011,8,600,-0.18874134097415934,2.4017373832364637,2.590478724210623,0.3238098405263279,0.29961025059707785,0.4317464540351038,10.120316351626649,0.18173779042498078,0.12585468217614434,-0.15619818360087237,0.440684454985449,0.20839687235021348,0.9333520282059709,0.11979626543999511,0.12835057065259695,-0.11490579634890624,600.0,0.2014331565151224,0.28527424301137216,0.18822520817077698,0.18173779042498078,2.2821939440909773
active_learning_pev,12,30012,8,600,-0.17448536362579398,0.7794491006500309,0.953934464275825,0.1192418080344781,0.43758382433382087,0.15898907737930415,5.506796090848382,0.1251850271658585,0.41587104170647016,-0.148076333334574,0.43004315273005717,0.23631941307369678,0.9568604164794672,0.04685033805591148,0.048962562615230534,-0.15847984798215786,600.0,0.2102759563786094,0.28752728149993345,0.1393408704112687,0.1251850271658585,2.3002182519994676
