episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind,model_available_steps,uncertainty_available_steps,pev_available_steps,action_random_count,action_diversity_count,action_highest_pev_count,action_highest_gebv_count,action_stop_count
1,30001,1.0,2.5297183001104804,24,0,8,0.20658509908569367,0.058451024091768625,,30,linear_q,8,8,8,10,9,2,2,1
2,30002,0.997625,3.3746763351479823,24,0,8,0.2518469633412739,0.02195998490779092,,30,linear_q,8,8,8,10,7,1,4,2
3,30003,0.99525,3.16966212707892,24,0,8,0.053994093060695025,0.043352154196479725,,30,linear_q,8,8,8,8,12,2,1,1
4,30004,0.992875,2.7670253007285184,24,0,8,0.09898357514956357,0.08756454600801086,,30,linear_q,8,8,8,13,6,2,0,3
5,30005,0.9905,4.937448386831345,24,0,8,0.33375184807692726,0.06193842398686965,,30,linear_q,8,8,8,9,10,4,0,1
6,30006,0.988125,3.9328298831407107,24,0,8,0.17114969183188666,0.03884299711669804,,30,linear_q,8,8,8,14,8,1,0,1
7,30007,0.98575,3.8732069952744403,24,0,8,-0.13175834341067727,0.036493432137563696,,30,linear_q,8,8,8,11,9,3,1,0
8,30008,0.983375,3.7667497330011437,24,0,8,0.4530924909128453,0.11398423777095824,,30,linear_q,8,8,8,13,6,2,2,1
9,30009,0.981,3.1867598366749648,24,0,8,0.04561584115760242,0.04358943279318328,,30,linear_q,8,8,8,9,8,1,1,5
10,30010,0.978625,3.2926712928225634,24,0,8,0.2668408717271431,0.09338208266038603,,30,linear_q,8,8,8,5,15,1,1,2
11,30011,0.97625,3.9071355190497212,24,0,8,0.36395203512404906,0.08386768606201697,,30,linear_q,8,8,8,13,4,3,1,3
12,30012,0.973875,2.557279291193189,24,0,8,0.1571910825779952,0.04066231625704024,,30,linear_q,8,8,8,5,12,0,4,3
13,30013,0.9715,3.6357244777290108,24,0,8,0.2325797291786671,0.03419172552674088,,30,linear_q,8,8,8,8,10,2,2,2
14,30014,0.969125,2.5919185967137555,24,0,8,-0.003258994738293719,0.02042507636620548,,30,linear_q,8,8,8,8,11,2,1,2
15,30015,0.96675,5.149050241455419,24,0,8,0.183782884275157,0.0353337976333076,,30,linear_q,8,8,8,13,6,2,2,1
16,30016,0.964375,3.9150566101070954,24,0,8,0.12394425402119191,0.0947553095723308,,30,linear_q,8,8,8,8,12,2,2,0
