episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind
61,12405,0.772,6.6336703514228565,112,0,20,0.0,3.3494395903779665e-30,,100,linear_q
62,12406,0.7682,4.742811987487181,109,0,20,0.0,1.8840597695876063e-30,,100,linear_q
63,12407,0.7644,7.941609792099132,108,0,20,0.0,8.373598975944916e-31,,100,linear_q
64,12408,0.7605999999999999,8.679317817354715,119,0,20,0.0,3.3494395903779665e-30,,100,linear_q
65,12409,0.7568,8.461536360791566,102,0,20,0.0,0.0,,100,linear_q
66,12410,0.753,7.800664361479019,109,0,20,0.0,8.373598975944916e-31,,100,linear_q
67,12411,0.7492,7.775419073226177,122,0,20,0.0,0.0,,100,linear_q
68,12412,0.7454000000000001,9.500340416909625,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
69,12413,0.7416,8.040486734825432,115,0,20,0.0,8.373598975944916e-31,,100,linear_q
70,12414,0.7378,7.1696937204040045,112,0,20,0.0,8.373598975944916e-31,,100,linear_q
71,12415,0.734,7.125882591036693,128,0,20,0.0,3.3494395903779665e-30,,100,linear_q
72,12416,0.7302,9.507072844112232,116,0,20,0.0,8.373598975944916e-31,,100,linear_q
73,12417,0.7264,3.8996867198942824,122,0,20,0.0,2.093399743986229e-31,,100,linear_q
74,12418,0.7226,7.0680503169756985,101,0,20,0.0,8.373598975944916e-31,,100,linear_q
75,12419,0.7188000000000001,5.551666809206606,99,0,20,0.0,2.093399743986229e-31,,100,linear_q
76,12420,0.7150000000000001,7.133502339007135,118,0,20,0.0,3.3494395903779665e-30,,100,linear_q
77,12421,0.7112,8.232759338849268,120,0,20,0.0,8.373598975944916e-31,,100,linear_q
78,12422,0.7074,6.823874103835121,106,0,20,0.0,2.093399743986229e-31,,100,linear_q
79,12423,0.7036,8.024988927426076,125,0,20,0.0,3.3494395903779665e-30,,100,linear_q
80,12424,0.6998,8.890699215350054,96,0,20,0.0,0.0,,100,linear_q
81,12425,0.696,7.928673012552251,113,0,20,0.0,3.3494395903779665e-30,,100,linear_q
82,12426,0.6921999999999999,4.311101423900945,119,0,20,0.0,8.373598975944916e-31,,100,linear_q
83,12427,0.6884,6.810859547979029,93,0,20,0.0,8.373598975944916e-31,,100,linear_q
84,12428,0.6846,8.064876016383383,106,0,20,0.0,8.373598975944916e-31,,100,linear_q
85,12429,0.6808000000000001,6.894934459830784,110,0,20,0.0,8.373598975944916e-31,,100,linear_q
86,12430,0.677,10.850695912959171,99,0,20,-0.026599433077224788,0.005579069723827092,,100,linear_q
87,12431,0.6732,6.370581710189656,115,0,20,0.0,0.0,,100,linear_q
88,12432,0.6694,6.343435231855404,101,0,20,0.0,8.373598975944916e-31,,100,linear_q
89,12433,0.6656,9.636283953486535,103,0,20,0.0,8.373598975944916e-31,,100,linear_q
90,12434,0.6618,6.4912024898655565,115,0,20,0.0,0.0,,100,linear_q
91,12435,0.658,7.889244924137328,116,0,20,0.0,0.0,,100,linear_q
92,12436,0.6542,9.794522036875568,107,0,20,0.0,3.3494395903779665e-30,,100,linear_q
93,12437,0.6504000000000001,6.379284897126858,112,0,20,0.0,8.373598975944916e-31,,100,linear_q
94,12438,0.6466000000000001,7.97272969219262,105,0,20,0.0,8.373598975944916e-31,,100,linear_q
