episode,seed,episode_return,steps,completed_generations,final_mean_genetic_value,final_generation_gain,final_variance_retention
1,80001,1.3042949792047993,24,8,-0.37415695067054333,-0.034540834600163106,0.021862840282552174
2,80002,3.29731084287286,24,8,2.396528194912899,0.027500902378012615,0.05398200336521844
3,80003,2.60043842171837,24,8,1.699238034328594,0.2444359103272582,0.11882972130334887
