episode,seed,step,generation,number_phenotyped_before,action,action_name,model_available_before,uncertainty_available_before,finite_pev_count_before,mean_pev_before,max_pev_before,mean_reliability_before,mask_random_before,mask_diversity_before,mask_highest_pev_before,mask_highest_gebv_before,mask_stop_before,reward,event,uncertainty_error
2,80002,16,6,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
2,80002,17,6,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
2,80002,18,6,50,2,Highest-PEV batch,True,True,500,3.947738636050339e-08,6.842042274773528e-08,3.878981977104937e-09,True,True,True,True,True,0.08350630065507635,generation_finalized,
2,80002,19,7,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
2,80002,20,7,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
2,80002,21,7,50,2,Highest-PEV batch,True,True,500,1.5256397964842698,2.3748882139040846,0.15335009517227885,True,True,True,True,True,0.13836134965047786,generation_finalized,
2,80002,22,8,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
2,80002,23,8,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
2,80002,24,8,50,1,Diversity batch,True,True,500,4.672074646010125e-08,9.709281715087983e-08,5.576120849504207e-09,True,True,True,True,True,0.054185852717136294,generation_finalized,
3,80003,1,1,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,2,1,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,3,1,50,2,Highest-PEV batch,True,True,500,14.782791776265409,19.515740925503625,0.20780935900744424,True,True,True,True,True,0.8465553620960301,generation_finalized,
3,80003,4,2,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,5,2,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,6,2,50,2,Highest-PEV batch,True,True,500,3.3359748222424868,4.485684220685209,0.12747281910009106,True,True,True,True,True,0.4311947180256967,generation_finalized,
3,80003,7,3,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,8,3,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,9,3,50,2,Highest-PEV batch,True,True,500,2.7439758435409493e-08,3.541861605502701e-08,2.6746269912416824e-09,True,True,True,True,True,0.383191718850359,generation_finalized,
3,80003,10,4,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,11,4,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,12,4,50,2,Highest-PEV batch,True,True,500,4.297408107820525,7.807707154449345,0.27361005501368035,True,True,True,True,True,0.23723036913437184,generation_finalized,
3,80003,13,5,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,14,5,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,15,5,50,2,Highest-PEV batch,True,True,500,2.1196997079252564,3.1486209545370913,0.14576893388234383,True,True,True,True,True,0.08880024300479655,generation_finalized,
3,80003,16,6,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,17,6,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,18,6,50,2,Highest-PEV batch,True,True,500,4.055965133051314e-08,6.213981684673212e-08,3.3904036227876903e-09,True,True,True,True,True,0.12488824731217378,generation_finalized,
3,80003,19,7,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,20,7,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,21,7,50,2,Highest-PEV batch,True,True,500,3.9195524641954706e-08,6.273943382670974e-08,3.442104840909208e-09,True,True,True,True,True,0.2958174398910909,generation_finalized,
3,80003,22,8,0,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,23,8,25,0,Random batch,False,False,0,0.0,0.0,0.0,True,True,False,False,False,0.0,phenotype_batch,
3,80003,24,8,50,2,Highest-PEV batch,True,True,500,1.488778511444554,2.192922811310528,0.09951773607451612,True,True,True,True,True,0.1927603234038513,generation_finalized,
