episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind,model_available_steps,uncertainty_available_steps,pev_available_steps,action_random_count,action_diversity_count,action_highest_pev_count,action_highest_gebv_count,action_stop_count
41,30041,0.905,3.5107733294909518,24,0,8,-0.15973850562152414,0.1310405113643556,,30,linear_q,8,8,8,12,5,4,2,1
42,30042,0.902625,2.364676120631254,24,0,8,-0.1690372927482362,0.04893034224940329,,30,linear_q,8,8,8,10,10,1,1,2
43,30043,0.90025,3.2798834084777115,24,0,8,0.2766964596741477,0.05368689656748682,,30,linear_q,8,8,8,10,10,0,2,2
44,30044,0.897875,2.795906795070092,24,0,8,0.19538352479835686,0.018838797659778916,,30,linear_q,8,8,8,11,6,3,2,2
45,30045,0.8955,4.2508962169078925,24,0,8,0.10134579142998623,0.02776847207379887,,30,linear_q,8,8,8,4,14,3,2,1
46,30046,0.893125,4.164614733362078,24,0,8,0.07060808015113773,0.05809884398365994,,30,linear_q,8,8,8,10,12,0,2,0
47,30047,0.89075,3.453854022360739,24,0,8,0.06036358374498807,0.07331402699776671,,30,linear_q,8,8,8,9,13,1,1,0
48,30048,0.888375,2.7361307152446948,24,0,8,0.09125925436620164,0.027671998070341496,,30,linear_q,8,8,8,9,11,1,2,1
49,30049,0.886,3.8739157873279004,24,0,8,0.3962128503040825,0.2855137560263743,,30,linear_q,8,8,8,7,11,1,1,4
50,30050,0.883625,3.3691975623022956,24,0,8,0.0247396908873192,0.0402760842169261,,30,linear_q,8,8,8,9,9,3,0,3
51,30051,0.88125,4.023415550762932,24,0,8,-0.3050922235135487,0.2096318397719178,,30,linear_q,8,8,8,5,14,3,0,2
52,30052,0.878875,3.096866207923222,24,0,8,0.08705201368137683,0.10229611165085956,,30,linear_q,8,8,8,8,11,2,1,2
53,30053,0.8765000000000001,3.03875004229442,24,0,8,-0.08402464072832849,0.12056952844587206,,30,linear_q,8,8,8,9,9,4,1,1
54,30054,0.874125,2.9148437548854442,24,0,8,-0.030679919026123326,0.04014558543705984,,30,linear_q,8,8,8,13,4,6,0,1
55,30055,0.87175,5.173378154871279,24,0,8,0.07761141535780958,0.1711889781853728,,30,linear_q,8,8,8,7,12,3,2,0
56,30056,0.869375,5.34592793362024,24,0,8,0.6313916568812914,0.34448018498783334,,30,linear_q,8,8,8,6,13,3,1,1
57,30057,0.867,2.723339155430451,24,0,8,-0.3554256855694473,0.06681694744885737,,30,linear_q,8,8,8,9,14,0,1,0
58,30058,0.864625,2.652808233038353,24,0,8,-0.22750945087645302,0.05920326121250914,,30,linear_q,8,8,8,8,8,4,2,2
59,30059,0.86225,2.879291754796735,24,0,8,-0.12187310699731535,0.052157896353495686,,30,linear_q,8,8,8,9,9,4,0,2
60,30060,0.859875,3.444670722624429,24,0,8,0.39845328698066096,0.052611678404214525,,30,linear_q,8,8,8,6,14,2,2,0
61,30061,0.8575,4.441339917438465,24,0,8,0.026858028175463122,0.07321163866951,,30,linear_q,8,8,8,7,13,3,1,0
62,30062,0.855125,2.743957977778847,24,0,8,-0.08379845616794146,0.018728122064509464,,30,linear_q,8,8,8,10,11,0,2,1
63,30063,0.85275,2.9884979389976056,24,0,8,0.18312386072849107,0.040403399735374955,,30,linear_q,8,8,8,13,8,1,2,0
64,30064,0.850375,3.197069337123707,24,0,8,0.020999652095502697,0.015009468032508428,,30,linear_q,8,8,8,10,7,2,3,2
65,30065,0.848,3.5405284746941987,24,0,8,0.24451150132046928,0.06900811525663793,,30,linear_q,8,8,8,8,10,2,3,1
66,30066,0.8456250000000001,5.0904026197566745,24,0,8,-0.019493676240595725,0.07456848329035187,,30,linear_q,8,8,8,7,14,3,0,0
67,30067,0.84325,4.198124368756999,24,0,8,0.40275034264905774,0.1501218156750254,,30,linear_q,8,8,8,6,14,2,0,2
68,30068,0.840875,3.0438228401745757,24,0,8,-0.1001374340304988,0.08842822442963655,,30,linear_q,8,8,8,8,13,2,1,0
69,30069,0.8385,3.6501021640988616,24,0,8,-0.1226056209663482,0.03949716735406622,,30,linear_q,8,8,8,14,5,2,1,2
70,30070,0.836125,4.157669830006991,24,0,8,-0.14016077008634964,0.14701819377161982,,30,linear_q,8,8,8,6,12,0,1,5
71,30071,0.83375,2.433389889600555,24,0,8,-0.012411115748615753,0.008862429196987747,,30,linear_q,8,8,8,9,8,2,0,5
72,30072,0.831375,3.2772131558506596,24,0,8,0.13169764283269103,0.09993626860300443,,30,linear_q,8,8,8,12,5,4,1,2
73,30073,0.829,2.5582707482373976,24,0,8,-0.018754247455561313,0.010154839009843623,,30,linear_q,8,8,8,11,6,3,1,3
74,30074,0.8266249999999999,3.248170696822938,24,0,8,-0.02261589592175106,0.06547612955749187,,30,linear_q,8,8,8,11,9,2,1,1
75,30075,0.82425,3.6246974725266865,24,0,8,0.21957572968778427,0.022943323359812542,,30,linear_q,8,8,8,12,8,1,2,1
76,30076,0.821875,3.0867374436397035,24,0,8,0.15748544917823937,0.09682970746431013,,30,linear_q,8,8,8,7,14,1,1,1
77,30077,0.8195,3.136655525774896,24,0,8,0.18511833293435465,0.07145348151101268,,30,linear_q,8,8,8,10,11,1,0,2
78,30078,0.817125,4.134046029224779,24,0,8,-0.09691900513756746,0.31508125947708077,,30,linear_q,8,8,8,9,8,3,1,3
79,30079,0.81475,3.9838497541660787,24,0,8,0.2280330110966533,0.08630944264250953,,30,linear_q,8,8,8,10,10,1,2,1
80,30080,0.8123750000000001,4.209494919924445,24,0,8,0.20251484304379508,0.2119182172267897,,30,linear_q,8,8,8,10,13,1,0,0
81,30081,0.81,2.8347761270093392,24,0,8,0.10550814655789553,0.016415643464664634,,30,linear_q,8,8,8,6,15,3,0,0
82,30082,0.807625,3.407700360754967,24,0,8,0.012775247804774459,0.10247414585076355,,30,linear_q,8,8,8,9,11,3,0,1
83,30083,0.80525,3.8632139805397827,24,0,8,0.12921766607999352,0.24558617416619863,,30,linear_q,8,8,8,5,13,1,1,4
84,30084,0.802875,2.8044309431268273,24,0,8,0.05057521759937744,0.01743510087885077,,30,linear_q,8,8,8,9,9,2,2,2
85,30085,0.8005,3.0493205716787943,24,0,8,0.2374611401898199,0.08452497621442537,,30,linear_q,8,8,8,7,10,3,2,2
86,30086,0.798125,3.136213675623578,24,0,8,-0.16283908437182015,0.10111767723675276,,30,linear_q,8,8,8,14,6,2,1,1
87,30087,0.79575,2.8150753011380822,24,0,8,0.021101521364793374,0.0266275509191805,,30,linear_q,8,8,8,12,6,5,0,1
88,30088,0.7933749999999999,3.444804542787038,24,0,8,0.24118520230742635,0.1433683978092133,,30,linear_q,8,8,8,11,7,3,1,2
89,30089,0.791,3.59168821299844,24,0,8,0.10384723815749597,0.09489923927323102,,30,linear_q,8,8,8,12,7,4,0,1
90,30090,0.788625,3.3990223876338668,24,0,8,0.29589844022116174,0.19846913141358358,,30,linear_q,8,8,8,10,9,1,2,2
91,30091,0.78625,4.323927103741594,24,0,8,-0.16946674472289347,0.09538342443500038,,30,linear_q,8,8,8,11,10,0,1,2
92,30092,0.783875,3.881830157149494,24,0,8,0.41233677403277014,0.10387677958024127,,30,linear_q,8,8,8,8,10,2,0,4
93,30093,0.7815,3.652938697126384,24,0,8,0.0385936450480413,0.02113466526811379,,30,linear_q,8,8,8,9,8,2,3,2
94,30094,0.7791250000000001,2.5143974164728964,24,0,8,-0.031199784750497006,0.00736684683030169,,30,linear_q,8,8,8,8,10,2,1,3
95,30095,0.77675,3.049191318278673,24,0,8,0.15882252794417995,0.028569778212429522,,30,linear_q,8,8,8,14,4,4,1,1
96,30096,0.774375,5.699191156958578,24,0,8,0.2558954592214082,0.11400873138249248,,30,linear_q,8,8,8,7,12,2,2,1
97,30097,0.772,2.4763373613952666,24,0,8,-0.11377199690755146,0.04174935385885371,,30,linear_q,8,8,8,10,9,3,0,2
98,30098,0.769625,2.70104062890598,24,0,8,-0.016767619803292444,0.0027378550747665757,,30,linear_q,8,8,8,17,4,2,0,1
99,30099,0.76725,2.427532870770921,24,0,8,0.2941726543665091,0.01598289617514483,,30,linear_q,8,8,8,11,7,1,2,3
100,30100,0.764875,3.6593347936746095,24,0,8,0.5471750700739975,0.3266378239165221,,30,linear_q,8,8,8,12,9,0,3,0
101,30101,0.7625,3.46937175463449,24,0,8,-0.15675009495847414,0.06722563075360606,,30,linear_q,8,8,8,7,11,2,0,4
102,30102,0.760125,3.495221521864049,24,0,8,0.11932469912289356,0.018944441125989257,,30,linear_q,8,8,8,7,12,4,1,0
103,30103,0.75775,3.7425955125419303,24,0,8,-0.09761313835436258,0.13114670026307224,,30,linear_q,8,8,8,7,13,4,0,0
104,30104,0.755375,3.554229862007541,24,0,8,0.15804885354088238,0.11373576031449752,,30,linear_q,8,8,8,10,7,3,1,3
105,30105,0.753,2.8782991972308927,24,0,8,0.09657927370271446,0.02492228483227763,,30,linear_q,8,8,8,12,6,1,1,4
106,30106,0.750625,3.4326291309306267,24,0,8,-0.24223093870383794,0.11801745564754498,,30,linear_q,8,8,8,8,8,5,1,2
107,30107,0.7482500000000001,4.09607453933865,24,0,8,0.0011455911615723124,0.16827968495415935,,30,linear_q,8,8,8,10,7,3,3,1
108,30108,0.7458750000000001,2.5690588512784402,24,0,8,0.2580690238901533,0.024156896786291297,,30,linear_q,8,8,8,13,5,3,2,1
109,30109,0.7435,3.090160896724463,24,0,8,-0.0799379637894897,0.014026990037257775,,30,linear_q,8,8,8,10,9,4,1,0
110,30110,0.741125,2.291081005103116,24,0,8,0.17371496837036515,0.007949460069728022,,30,linear_q,8,8,8,6,12,1,5,0
111,30111,0.73875,3.8885864062632387,24,0,8,-0.12212627137495913,0.06087301327309344,,30,linear_q,8,8,8,9,9,4,0,2
112,30112,0.736375,3.0071932073552676,24,0,8,0.0980642992543932,0.051954890492465246,,30,linear_q,8,8,8,12,7,3,1,1
113,30113,0.734,2.878375863721816,24,0,8,0.13120091450909355,0.012165777213951822,,30,linear_q,8,8,8,9,10,0,4,1
114,30114,0.731625,3.2063051567980856,24,0,8,-0.24332874337689736,0.0584347722723733,,30,linear_q,8,8,8,7,9,3,2,3
115,30115,0.72925,2.4436769047821034,24,0,8,0.040805202981614386,0.005437587753019124,,30,linear_q,8,8,8,6,13,4,0,1
116,30116,0.726875,1.752146680672022,24,0,8,0.18879797818256733,0.05362745085974114,,30,linear_q,8,8,8,14,4,3,0,3
117,30117,0.7245,2.4261772824888417,24,0,8,-0.017901212040578596,0.024197615949369533,,30,linear_q,8,8,8,12,8,4,0,0
118,30118,0.722125,2.806937078822391,24,0,8,0.37010512402750506,0.08888450529734387,,30,linear_q,8,8,8,8,10,4,1,1
119,30119,0.71975,5.607420103797634,24,0,8,0.0822495205031668,0.4177009406143401,,30,linear_q,8,8,8,12,7,4,1,0
120,30120,0.7173750000000001,2.2184466742366067,24,0,8,0.05863896154018322,5.202571079376259e-32,,30,linear_q,8,8,8,14,5,0,2,3
121,30121,0.7150000000000001,4.020009518229162,24,0,8,-0.056596050819578636,0.11454192464030369,,30,linear_q,8,8,8,15,5,1,2,1
122,30122,0.7126250000000001,3.1856949415982827,24,0,8,0.3540226576003802,0.08796484213661496,,30,linear_q,8,8,8,13,4,4,2,1
123,30123,0.71025,4.403115222465094,24,0,8,0.25127170184826797,0.1526655010623903,,30,linear_q,8,8,8,8,13,1,2,0
124,30124,0.707875,2.9876954814690184,24,0,8,0.16253542710726876,0.06904550558131334,,30,linear_q,8,8,8,7,10,5,2,0
125,30125,0.7055,3.139088338579208,24,0,8,0.007581524133325246,0.08083784673329766,,30,linear_q,8,8,8,9,11,2,2,0
126,30126,0.703125,3.346224237953727,24,0,8,0.047487670511650926,0.036137725606747245,,30,linear_q,8,8,8,10,10,1,1,2
127,30127,0.70075,3.4252504562697217,24,0,8,0.4483209627277187,0.12239458363378418,,30,linear_q,8,8,8,9,12,2,1,0
128,30128,0.698375,4.005648060035589,24,0,8,0.14015383097409906,0.04478589129436602,,30,linear_q,8,8,8,6,10,3,4,1
129,30129,0.696,3.1316822745680333,24,0,8,-0.05587353536184114,0.01713329519589305,,30,linear_q,8,8,8,4,17,1,0,2
130,30130,0.6936249999999999,3.5823712209129943,24,0,8,0.14116965450405106,0.10564446636284022,,30,linear_q,8,8,8,4,13,4,3,0
131,30131,0.69125,3.812313792699731,24,0,8,0.3798351151636099,0.19878859676469943,,30,linear_q,8,8,8,6,14,2,0,2
132,30132,0.688875,2.9625574335531812,24,0,8,0.05091251717461387,0.021675882017909865,,30,linear_q,8,8,8,12,9,1,1,1
133,30133,0.6865,2.4326944672721833,24,0,8,0.2150573855971667,0.053970853463689863,,30,linear_q,8,8,8,11,6,3,3,1
134,30134,0.684125,2.6946566752382686,24,0,8,0.1518195488418821,0.04443019967573462,,30,linear_q,8,8,8,9,8,1,3,3
135,30135,0.6817500000000001,2.5625316945104606,24,0,8,-0.05085583698481311,0.05589680000272341,,30,linear_q,8,8,8,13,6,2,1,2
136,30136,0.6793750000000001,4.410810576109158,24,0,8,0.2541200065744742,0.1608152259112769,,30,linear_q,8,8,8,11,8,3,2,0
137,30137,0.677,3.198073972894119,24,0,8,0.3387138886102936,0.15299845582125438,,30,linear_q,8,8,8,6,12,4,0,2
138,30138,0.674625,2.89514830749575,24,0,8,0.023466152941797658,0.0431687404671743,,30,linear_q,8,8,8,7,13,3,0,1
139,30139,0.67225,4.854137598463387,24,0,8,-0.2485055801873699,0.020582401456168468,,30,linear_q,8,8,8,13,9,1,0,1
140,30140,0.669875,1.6755278210083842,24,0,8,0.020896671958428925,0.005729474684158598,,30,linear_q,8,8,8,13,6,2,0,3
141,30141,0.6675,1.5277010152253685,24,0,8,-0.13106385056484032,0.03994991460308387,,30,linear_q,8,8,8,12,5,3,0,4
142,30142,0.665125,3.0928111201746056,24,0,8,0.19888500808507725,0.08934359928821313,,30,linear_q,8,8,8,13,7,1,3,0
143,30143,0.66275,3.6978689646150857,24,0,8,0.17411479114680306,0.015435858562717543,,30,linear_q,8,8,8,9,7,0,4,4
144,30144,0.660375,2.1953006028512094,24,0,8,0.00028368261660771665,0.0002562562204115687,,30,linear_q,8,8,8,11,8,5,0,0
145,30145,0.658,4.237354714791856,24,0,8,-0.29526563289311536,0.12655616405127385,,30,linear_q,8,8,8,8,10,4,1,1
146,30146,0.655625,4.390021476618172,24,0,8,0.19100398957724085,0.0507800184854474,,30,linear_q,8,8,8,10,7,5,1,1
147,30147,0.65325,2.355011112715089,24,0,8,0.06229987646497115,0.08730191889882716,,30,linear_q,8,8,8,13,6,4,0,1
148,30148,0.6508750000000001,4.687364188033758,24,0,8,0.38851003153024255,0.21819032420617449,,30,linear_q,8,8,8,12,6,6,0,0
149,30149,0.6485000000000001,4.495886022507437,24,0,8,0.3618776653982212,0.12657656460768535,,30,linear_q,8,8,8,13,6,3,1,1
150,30150,0.6461250000000001,3.5818080036681894,24,0,8,0.04978673539151668,0.0026625089845490287,,30,linear_q,8,8,8,11,6,5,2,0
151,30151,0.64375,4.53603387738687,24,0,8,0.2256676858489981,0.06984970495410188,,30,linear_q,8,8,8,12,6,3,0,3
152,30152,0.641375,2.4078616950983562,24,0,8,-0.04937038455420928,0.04567607913367441,,30,linear_q,8,8,8,14,6,1,1,2
153,30153,0.639,4.14087546199158,24,0,8,0.467776888770155,0.06097743539809233,,30,linear_q,8,8,8,13,7,3,1,0
154,30154,0.636625,3.1577184327203525,24,0,8,0.1762038471412981,0.019136887771011864,,30,linear_q,8,8,8,9,9,4,0,2
155,30155,0.63425,2.527988888501843,24,0,8,-0.10505665851518575,0.03769086653332485,,30,linear_q,8,8,8,8,11,3,0,2
156,30156,0.631875,3.6241347671395787,24,0,8,0.24634619636992783,0.03624340772481675,,30,linear_q,8,8,8,3,15,3,2,1
157,30157,0.6295,3.1411122086173555,24,0,8,-0.08681318559994189,0.046638240880947424,,30,linear_q,8,8,8,9,9,4,2,0
158,30158,0.6271249999999999,3.3042477686718525,24,0,8,0.13829608248802305,0.13963292750038594,,30,linear_q,8,8,8,8,9,4,0,3
159,30159,0.62475,3.4054739217600987,24,0,8,0.2603182869307594,0.07598919001039077,,30,linear_q,8,8,8,11,7,3,1,2
160,30160,0.622375,3.187591465943428,24,0,8,0.24587595740591617,0.10219309570272234,,30,linear_q,8,8,8,11,6,4,2,1
161,30161,0.62,2.656795148351402,24,0,8,0.23317717560012075,0.13490211049140227,,30,linear_q,8,8,8,15,5,2,1,1
162,30162,0.617625,4.261297773736925,24,0,8,0.1434686225052988,0.06724679131203146,,30,linear_q,8,8,8,5,14,3,2,0
163,30163,0.6152500000000001,3.24208992361957,24,0,8,0.15583266435597043,0.05310937867039657,,30,linear_q,8,8,8,12,6,4,2,0
164,30164,0.6128750000000001,3.294317042694611,24,0,8,0.11260354359814873,0.012382630358597416,,30,linear_q,8,8,8,13,6,1,2,2
165,30165,0.6105,2.092188407918012,24,0,8,0.10061849296180075,0.0667532579643936,,30,linear_q,8,8,8,4,14,2,2,2
166,30166,0.608125,2.12618057435928,24,0,8,0.16316050668172644,0.019789965970310824,,30,linear_q,8,8,8,8,11,2,1,2
167,30167,0.60575,5.008405354518424,24,0,8,0.1978994593830521,0.08247355595238862,,30,linear_q,8,8,8,3,14,5,2,0
168,30168,0.603375,3.0440782949500202,24,0,8,0.021547580484329032,0.10754320516000411,,30,linear_q,8,8,8,7,14,0,1,2
169,30169,0.601,4.956542667476129,24,0,8,0.024140057087464584,0.1820179037696512,,30,linear_q,8,8,8,10,7,4,1,2
170,30170,0.598625,4.606115447723806,24,0,8,0.1370853542071253,0.1724991886517986,,30,linear_q,8,8,8,10,6,6,1,1
171,30171,0.59625,2.9728884328526766,24,0,8,0.06005202559876266,0.024336485782813458,,30,linear_q,8,8,8,13,6,2,1,2
172,30172,0.593875,4.410014534616365,24,0,8,0.020662736771854817,0.06852977208573877,,30,linear_q,8,8,8,12,9,3,0,0
173,30173,0.5915,2.8350362355813994,24,0,8,0.14173615182509547,0.012503119800398152,,30,linear_q,8,8,8,10,10,2,1,1
174,30174,0.589125,4.00731684213297,24,0,8,0.05518279077919308,0.12169122862619167,,30,linear_q,8,8,8,9,7,4,1,3
175,30175,0.58675,3.3333354245885776,24,0,8,0.05109236650039639,0.0466447756732763,,30,linear_q,8,8,8,13,3,5,1,2
176,30176,0.5843750000000001,3.5858763476281306,24,0,8,0.3286046823916753,0.1230500367596817,,30,linear_q,8,8,8,12,5,5,1,1
177,30177,0.5820000000000001,2.422867632553881,24,0,8,-0.10197495618705821,0.12953088472206012,,30,linear_q,8,8,8,15,2,5,2,0
178,30178,0.5796250000000001,1.8566171336497688,24,0,8,-0.04793679619471458,0.004178266105822542,,30,linear_q,8,8,8,15,3,3,3,0
179,30179,0.57725,3.733848246711028,24,0,8,0.007208090398502787,0.1045361064281896,,30,linear_q,8,8,8,13,8,3,0,0
180,30180,0.574875,2.8943657825218048,24,0,8,0.16677004699668108,0.1077543706127726,,30,linear_q,8,8,8,16,2,4,1,1
181,30181,0.5725,2.360031306672292,24,0,8,0.10398341051645366,0.016861572412414816,,30,linear_q,8,8,8,10,10,3,1,0
182,30182,0.570125,3.3078204777386166,24,0,8,0.1626944870910596,0.15433199811814796,,30,linear_q,8,8,8,11,7,6,0,0
183,30183,0.56775,3.644097604029045,24,0,8,0.5199900680427261,0.035117219266811155,,30,linear_q,8,8,8,11,8,5,0,0
184,30184,0.565375,2.554894566874941,24,0,8,-0.0006541670761515128,0.09494249643381877,,30,linear_q,8,8,8,14,5,3,1,1
185,30185,0.563,2.7565141479305777,24,0,8,0.07959527721825954,0.05978836816815351,,30,linear_q,8,8,8,12,7,3,0,2
186,30186,0.5606249999999999,2.8811211027386463,24,0,8,0.2393633585769297,0.051878967890039984,,30,linear_q,8,8,8,12,6,4,0,2
187,30187,0.55825,2.5006907872537543,24,0,8,0.16506852204963995,0.028879196446764472,,30,linear_q,8,8,8,11,6,4,2,1
188,30188,0.555875,3.2046294449811854,24,0,8,0.059471556377897805,0.04716723759483667,,30,linear_q,8,8,8,9,10,1,2,2
189,30189,0.5535000000000001,3.175039495248903,24,0,8,0.023990447595593434,0.10036650117244082,,30,linear_q,8,8,8,10,7,5,1,1
190,30190,0.5511250000000001,2.683863211884245,24,0,8,0.08946833647670349,0.04062929224879882,,30,linear_q,8,8,8,8,12,2,1,1
191,30191,0.5487500000000001,3.2986987178391165,24,0,8,0.24333900140465148,0.1243417237988943,,30,linear_q,8,8,8,11,8,3,2,0
192,30192,0.546375,3.0000831154996743,24,0,8,-0.043534491389434216,0.12481784520384796,,30,linear_q,8,8,8,16,3,2,1,2
193,30193,0.544,1.9643993715038177,24,0,8,0.07402191969231042,0.0065708266406831785,,30,linear_q,8,8,8,7,11,5,0,1
194,30194,0.541625,3.3904279626708185,24,0,8,0.40657012894950384,0.15236053646155262,,30,linear_q,8,8,8,11,7,2,0,4
195,30195,0.53925,3.53604972419159,24,0,8,-0.19065404858152535,0.029477676876264836,,30,linear_q,8,8,8,14,3,2,2,3
196,30196,0.536875,2.591479209421093,24,0,8,-0.17695977172357558,0.04087052131291093,,30,linear_q,8,8,8,8,10,5,0,1
197,30197,0.5345,5.501464416393751,24,0,8,0.4555982903265665,0.27242669988212703,,30,linear_q,8,8,8,5,13,0,5,1
198,30198,0.532125,3.112740963127657,24,0,8,0.10535263570430242,0.09376053989829986,,30,linear_q,8,8,8,6,11,3,3,1
199,30199,0.5297499999999999,3.4204219578075308,24,0,8,0.2814562853123048,0.00921051197106432,,30,linear_q,8,8,8,5,14,2,2,1
200,30200,0.527375,2.5586585377705786,24,0,8,0.011685859537076793,0.040181123765724316,,30,linear_q,8,8,8,9,10,1,3,1
201,30201,0.525,2.6683438790996874,24,0,8,0.028612142944060892,0.05869457747287984,,30,linear_q,8,8,8,4,13,2,3,2
202,30202,0.5226250000000001,2.6843436942204923,24,0,8,-0.002313846679954157,0.007392549857226569,,30,linear_q,8,8,8,6,11,3,3,1
203,30203,0.5202500000000001,3.663943019077667,24,0,8,0.25633263346199087,0.10751692509939197,,30,linear_q,8,8,8,5,13,3,1,2
