scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_population_size,scenario_diversity_loss,scenario_number_of_parents,scenario_number_of_crosses,scenario_dh_per_f1,scenario_number_of_generations,switching_chosen_strategy,switching_policy,chosen_strategy_score,best_fixed_continuation,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,3,500,75,0.15,1,75,75,0.2288861302814099,20,1.2860419681193866,0.683530597132372,1.5607337787544926,0.27469181063510595,1.6074802557855208,0.5333374787907301,0.32143828766613414,,,30002,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.27759974791548897,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,4,500,75,0.15,1,75,75,0.09442079049556469,20,1.6074802557855208,0.5333374787907301,0.36943538821514543,-1.2380448675703755,1.9512638738910777,0.11168708066029612,0.3437836181055569,0.077867473999504,0.13654359799693339,30002,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.3265139263394819,active_learning_pev,50.0,,False,-0.2551736534377878,0.09442079049556469,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,5,500,75,0.15,1,75,75,0.2432050250433074,20,1.9512638738910777,0.11168708066029612,0.2160918969270215,-1.7351719769640561,2.1893047387544633,0.05840924916588004,0.2380408648633856,0.12364145199535415,0.18155410699546337,30002,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.22157742723771587,active_learning_pev,50.0,25.0,True,-0.09158136615895249,0.2432050250433074,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,6,500,75,0.15,1,75,75,0.15586693635604199,20,2.1893047387544633,0.058409249165880035,2.262636668013278,0.07333192925881482,2.2701096069215625,0.08049633800423857,0.0808048681670992,,,30002,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,-0.049055774763840355,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,7,500,75,0.15,1,75,75,0.36903625116306227,20,2.2701096069215625,0.08049633800423857,2.5141328971801564,0.24402329025859393,2.50443863333844,0.0265868290752751,0.23432902641687736,,,30002,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.24010826801875657,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,8,500,75,0.15,1,75,75,0.10325158110353473,20,2.50443863333844,0.0265868290752751,0.07561352282401645,-2.428825110514423,2.5746241909648906,0.004876946673862908,0.07018555762645073,0.037172770011238754,0.10060246798093431,30002,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.07373780877425959,active_learning_pev,50.0,,False,-0.05990401980524411,0.10325158110353473,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,1,500,75,0.15,1,75,75,0.2720301249879571,20,-0.12222805433604182,0.9583081974328178,0.9178446844932877,1.0400727388293296,0.6393893528268428,1.0466961105320314,0.7616174071628846,0.1907046340056695,0.2557354329910595,30003,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.7644119015871041,active_learning_pev,50.0,,False,0.11886094167572578,0.2720301249879571,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,2,500,75,0.15,1,75,75,0.1973142675610729,20,0.6393893528268428,1.0466961105320314,1.2256293423245923,0.5862399894977495,1.1959372226312068,0.48275627073869115,0.556547869804364,,,30003,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.5400775626088116,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,3,500,75,0.15,1,75,75,0.36429045846073826,20,1.1959372226312068,0.48275627073869115,1.9056882717855532,0.7097510491543464,1.9383707970392965,0.07987534368272241,0.7424335744080897,,,30003,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.7256202778535246,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,4,500,75,0.15,1,75,75,0.06644805009408424,20,1.9383707970392965,0.07987534368272241,1.9817432795773509,0.04337248253805437,1.9740680422445784,0.05056984228632535,0.03569724520528195,,,30003,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.0393795539140076,active_learning_pev,,,,,,,
