name,heritability,population_size,diversity_loss,number_of_replicates,number_of_generations,number_to_phenotype,number_of_parents,number_of_crosses,f1_per_cross,dh_per_f1,reps,trait,snp_chip,n_cores,active_initial_batch_size,base_seed,total_runtime_seconds
h2_0.20_budget_75_pop_500_parents_40_gen_8_loss_standard,0.2,500,standard,20,8,75,40,50,1,10,1,1,1,1,50,64001,45175.338529045024
h2_0.20_budget_75_pop_500_parents_40_gen_8_loss_strong,0.2,500,strong,20,8,75,40,25,1,20,1,1,1,1,50,65001,45175.338529045024
h2_0.20_budget_75_pop_1000_parents_20_gen_8_loss_standard,0.2,1000,standard,20,8,75,20,100,1,10,1,1,1,1,50,66001,45175.338529045024
h2_0.20_budget_75_pop_1000_parents_20_gen_8_loss_strong,0.2,1000,strong,20,8,75,20,50,1,20,1,1,1,1,50,67001,45175.338529045024
h2_0.20_budget_75_pop_1000_parents_40_gen_8_loss_standard,0.2,1000,standard,20,8,75,40,100,1,10,1,1,1,1,50,68001,45175.338529045024
h2_0.20_budget_75_pop_1000_parents_40_gen_8_loss_strong,0.2,1000,strong,20,8,75,40,50,1,20,1,1,1,1,50,69001,45175.338529045024
h2_0.20_budget_200_pop_500_parents_20_gen_8_loss_standard,0.2,500,standard,20,8,200,20,50,1,10,1,1,1,1,50,70001,45175.338529045024
h2_0.20_budget_200_pop_500_parents_20_gen_8_loss_strong,0.2,500,strong,20,8,200,20,25,1,20,1,1,1,1,50,71001,45175.338529045024
h2_0.20_budget_200_pop_500_parents_40_gen_8_loss_standard,0.2,500,standard,20,8,200,40,50,1,10,1,1,1,1,50,72001,45175.338529045024
h2_0.20_budget_200_pop_500_parents_40_gen_8_loss_strong,0.2,500,strong,20,8,200,40,25,1,20,1,1,1,1,50,73001,45175.338529045024
h2_0.20_budget_200_pop_1000_parents_20_gen_8_loss_standard,0.2,1000,standard,20,8,200,20,100,1,10,1,1,1,1,50,74001,45175.338529045024
h2_0.20_budget_200_pop_1000_parents_20_gen_8_loss_strong,0.2,1000,strong,20,8,200,20,50,1,20,1,1,1,1,50,75001,45175.338529045024
h2_0.20_budget_200_pop_1000_parents_40_gen_8_loss_standard,0.2,1000,standard,20,8,200,40,100,1,10,1,1,1,1,50,76001,45175.338529045024
h2_0.20_budget_200_pop_1000_parents_40_gen_8_loss_strong,0.2,1000,strong,20,8,200,40,50,1,20,1,1,1,1,50,77001,45175.338529045024
