scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_trial_strategy,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.20_budget_200_parents_20,random_sampling,1,1,1000,200,0.2,1,200,200,0.35409404259739874,20,-0.13314627914244168,0.9430240904123077,1.1944677407437418,1.3276140198861834,1.125889478740039,1.139690702123699,1.2590357578824807,,,30001,0.2,200,20,8,random_sampling,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,1,1000,200,0.2,1,200,200,0.24112136817954055,20,-0.13314627914244168,0.9430240904123077,0.29364552468937183,0.4267918038318135,0.305665781506505,1.2987265227852087,0.4388120606489466,,,30001,0.2,200,20,8,fixed_sampling,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,1,1000,200,0.2,1,200,200,0.3249793095182585,20,-0.13314627914244168,0.9430240904123077,1.6489739677191095,1.7821202468615511,1.596156833914308,0.49003872399595816,1.7293031130567496,,,30001,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,1,1000,200,0.2,1,200,200,0.4285728322313971,20,-0.13314627914244165,0.9430240904123077,1.3123958088282297,1.4455420879706713,1.1689188806755941,0.6889682618983641,1.3020651598180357,0.4875038600002881,0.5776640519907232,30001,0.2,200,20,8,active_learning_pev,50.0,150.0,True,0.30008793366917375,0.4285728322313971,,
h2_0.20_budget_200_parents_20,highest_gebv,1,1,1000,200,0.2,1,200,200,0.3227939905067222,20,-0.13314627914244165,0.9430240904123077,0.9975861559982266,1.1307324351406682,0.8260264699899141,0.78939444882717,0.9591727491323558,0.28332853998290375,0.3645909299957566,30001,0.2,200,20,8,highest_gebv,50.0,,False,0.30008793366917375,0.3227939905067222,150.0,predicted_gebv
h2_0.20_budget_200_parents_20,random_sampling,1,2,1000,200,0.2,1,200,200,0.47109159595188693,20,1.641840567458252,0.5121410823756399,2.4251796333013336,0.7833390658430817,2.3572258390463032,0.22299560706129004,0.7153852715880513,,,30001,0.2,200,20,8,random_sampling,,,,,,,
h2_0.20_budget_200_parents_20,fixed_sampling,1,2,1000,200,0.2,1,200,200,0.42004661593738957,20,1.641840567458252,0.5121410823756399,2.1242918473981396,0.4824512799398877,2.086600920237765,0.25065540505572387,0.444760352779513,,,30001,0.2,200,20,8,fixed_sampling,,,,,,,
h2_0.20_budget_200_parents_20,diversity_sampling,1,2,1000,200,0.2,1,200,200,0.384765089719348,20,1.641840567458252,0.5121410823756399,2.4726220385389768,0.8307814710807249,2.4498008730536887,0.31675860446716336,0.8079603055954367,,,30001,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,active_learning_pev,1,2,1000,200,0.2,1,200,200,0.5696891072704999,20,1.641840567458252,0.5121410823756399,0.8375249542357691,-0.8043156132224828,2.479179759441001,0.37873370502627346,0.8373391919827491,0.4582629160140641,0.5362202120013535,30001,0.2,200,20,8,active_learning_pev,50.0,150.0,True,0.39938773910741204,0.5696891072704999,,
h2_0.20_budget_200_parents_20,highest_gebv,1,2,1000,200,0.2,1,200,200,0.46860878812478746,20,1.641840567458252,0.5121410823756399,1.0385840870775895,-0.6032564803806624,2.7270715419119718,0.4623465324714111,1.0852309744537199,0.22812791599426419,0.3077559279918205,30001,0.2,200,20,8,highest_gebv,50.0,,False,0.39938773910741204,0.46860878812478746,150.0,predicted_gebv
