scenario,strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,1,42001,8,1600,-0.13314627914244165,4.596950425812138,4.73009670495458,0.5912620881193223,0.35042144378215795,0.29563104405966123,23.75609365731562,0.36861645405046356,0.3373432200686513,0.14752185851734226,0.5446020623196354,0.14502938990267786,0.9430240904123077,0.023633571533817156,0.025061471678294155,-0.11173018935096857,1600.0,0.23676825250004185,0.3226235219917726,0.16191992572262232,0.30353864274876396,1.2904940879670903
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,2,42002,8,1600,-0.13314627914244165,2.8384893310640638,2.9716356102065054,0.371454451275813,0.48877928583941926,0.18572722563790658,18.95151580033568,0.329162011769806,0.028505840326921,-0.1552709150283411,0.6356498796070245,0.29799710287414255,0.9430240904123077,0.00035178518124279976,0.0003730394428089241,-0.11590105960583522,1600.0,0.2043253024967271,0.29680327550158836,0.06491638911515323,0.18288799273986905,1.1872131020063534
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,42003,8,1600,-0.13314627914244165,2.619412758234406,2.7525590373768476,0.34406987967210595,0.4775576763477479,0.17203493983605297,17.592879858131926,0.3329635331192743,0.2123549977776564,0.14453244280663238,0.5905380057942843,0.17234437791530888,0.9430240904123077,0.00030264224622957204,0.0003209273753518335,-0.11022363796494039,1600.0,0.18433245412961696,0.27874514612267376,0.04301826972870754,0.3329635331192743,2.22996116898139
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,42004,8,1600,-0.13314627914244168,3.679423773799111,3.8125700529415525,0.476571256617694,0.2717559266366348,0.23828562830884703,18.10626211723672,0.33333276967864856,0.07691222830017626,0.07691222830017626,0.5023249886937061,0.1438871349228205,0.9430240904123077,0.011169557429412637,0.011844403067719191,-0.10465574312055237,1600.0,0.11998785900650547,0.21262689419672826,0.08123364585345974,0.2940564350233319,1.0631344709836412
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,5,42005,8,1600,-0.13314627914244165,4.8667941325825765,4.999940411725018,0.6249925514656272,0.4640660376918313,0.31249627573281363,27.610464312615075,0.30630819396706505,-0.20148792949687053,-0.20148792949687053,0.718906096895975,0.28861060070463407,0.9430240904123077,0.02756623142648666,0.02923173618442153,-0.11228547989056102,1600.0,0.21880244333685064,0.3036648950073868,0.06934550310344478,0.2667804940747605,0.9109946850221604
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,42006,8,1600,-0.13314627914244168,4.27009969725065,4.403245976393092,0.5504057470491364,0.31417374747873167,0.27520287352456824,21.724743959311617,0.3737261640979762,0.4562239436239521,0.035117592810401124,0.59185056555441,0.17515370430650418,0.9430240904123077,0.02203932438178612,0.023370902828314933,-0.11496682477574854,1600.0,0.27564727474964457,0.35966035599267343,0.18202886660375253,0.36779259341244086,1.4386414239706937
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,7,42007,8,1600,-0.13314627914244168,4.267277936857476,4.400424215999918,0.5500530269999897,0.43187750532502167,0.27502651349999485,23.46797212314631,0.31185543332016286,0.25570269253268657,0.20594369681906605,0.4270376408272615,0.06950456511828719,0.9430240904123077,0.017461525597077036,0.01851652123695221,-0.1173815485465613,1600.0,0.15953773799701593,0.24080663839704358,0.12718093557082388,0.31859034227950617,1.2040331919852179
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,8,42008,8,1600,-0.13314627914244168,3.7526098472391785,3.88575612638162,0.48571951579770245,0.39734838668258243,0.24285975789885128,19.391311261945937,0.2742467568992487,0.3953696244495181,-0.16257070403225038,0.4439821760594695,0.1896670924166695,0.9430240904123077,0.15319684828409058,0.16245274096562057,-0.0846515008128991,1600.0,0.16318044099413478,0.2691626376666439,0.23091597791146387,0.3209147982881451,0.8074879129999317
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,9,42009,8,1600,-0.13314627914244165,4.59415848229214,4.727304761434581,0.5909130951793226,0.3528970176258453,0.29545654758966133,24.562283333894385,0.33181424122741043,0.3398611082941363,0.07458668708771721,0.6558885126918944,0.16040123905363665,0.9430240904123077,0.025820161704538973,0.02738017190340272,-0.12692786218033691,1600.0,0.21503060677059693,0.2977656882503652,0.26528871323736747,0.39358353210228997,1.1910627530014608
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,10,42010,8,1600,-0.13314627914244168,4.573965552635307,4.707111831777748,0.5883889789722186,0.2777779664392238,0.29419448948610927,22.633911215583463,0.3484052343691907,0.5413623598219817,0.1057147803757702,0.5551661366613541,0.16579786138601252,0.9430240904123077,0.015032801238055348,0.015941057488237365,-0.11356760633141325,1600.0,0.19025425333044646,0.2807464055028201,0.1568638742010822,0.3331597307007126,1.6844784330169205
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,11,42011,8,1600,-0.13314627914244168,3.3464162646151845,3.479562543757626,0.4349453179697033,0.48523519963017847,0.21747265898485166,20.19082777220639,0.3430035285935117,0.27724956788617783,0.10353903967509127,0.6737481941387189,0.1897421841337319,0.9430240904123077,0.02291234809749866,0.02429667315018533,-0.1162940725455245,1600.0,0.12960336019750684,0.21446467139176092,0.24909474614520383,0.3362338844090405,1.0723233569588047
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,12,42012,8,1600,-0.13314627914244165,4.639717627249964,4.772863906392406,0.5966079882990507,0.4608489848567036,0.29830399414952535,25.532850789366602,0.3806826945660883,0.20576210946430412,0.1066344388938011,0.5666429357396862,0.17605927241933272,0.9430240904123077,0.023354315795713402,0.024765343784062248,-0.12430054956334204,1600.0,0.15849977049219888,0.2388134027569322,0.22405839337438677,0.2519003179689768,0.9552536110277288
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,13,42013,8,1600,-0.13314627914244165,4.450818564107321,4.583964843249762,0.5729956054062203,0.42761297766558465,0.28649780270311015,23.749362973304155,0.30141737501404375,0.2173010102167739,0.20399058782065738,0.5352617808450019,0.11125886217581267,0.9430240904123077,0.12267008699988448,0.13008160475121142,-0.09107420386498807,1600.0,0.25699929966261453,0.34378786517481785,0.1383470160581131,0.3216881747997111,2.062727191048907
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,14,42014,8,1600,-0.13314627914244168,2.8315383477457274,2.964684626888169,0.37058557836102113,0.5662644037090198,0.18529278918051056,19.78155477138216,0.29942425137537154,0.0,0.0,0.6272759187866325,0.22336766104331957,0.9430240904123077,0.0,0.0,-0.10877017187453801,1600.0,0.19587763200009553,0.288149247673573,0.16078213970608882,0.40528703987879733,0.8644477430207189
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,15,42015,8,1600,-0.13314627914244165,2.2106664807922582,2.3438127599347,0.2929765949918376,0.21721964168428,0.14648829749591874,12.157025699618295,0.1870515070062082,0.29766178178292174,-0.005364351364295065,0.4901586904979721,0.1568984279520583,0.9430240904123077,0.03989077680285386,0.04230090960392419,-0.10008905434673031,1600.0,0.22168673100046968,0.31366324800183065,0.05161765221687022,0.19001035590205714,1.881979488010984
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,16,42016,8,1600,-0.13314627914244165,3.041210580675758,3.1743568598181997,0.3967946074772751,0.39497208556446667,0.19839730373863748,18.227607969454823,0.41931154383719976,0.5737801707422163,0.23251906993676444,0.6427338002839711,0.14410143902811978,0.9430240904123077,0.002569309083219902,0.0027245423625355657,-0.12224195323137028,1600.0,0.22932381324790185,0.3264559692397597,0.3131365826803665,0.4214943212494299,1.305823876959039
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,17,42017,8,1600,-0.13314627914244168,2.0987427145575706,2.231888993700012,0.27898612421250146,0.34770174315121594,0.13949306210625076,13.994742109189373,0.21514801762046487,0.0,-0.025150296717205995,0.6073450124466788,0.23433546074064387,0.9430240904123077,0.0,0.0,-0.09946434600142817,1600.0,0.15892323000783412,0.24682544199943854,0.26684632349477533,0.3301712554732051,0.7404763259983156
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,18,42018,8,1600,-0.13314627914244165,3.9200227548935205,4.053169034035962,0.506646129254495,0.4909990225248536,0.25332306462724763,23.05080326082112,0.3766291949713524,0.10817318560713962,0.10817318560713962,0.6717202312047018,0.18638766918921498,0.9430240904123077,0.0051163511591260525,0.005425472383095843,-0.11531178738620916,1600.0,0.19489631675969576,0.2815216525050346,0.10154904578192797,0.29901653347395907,1.1260866100201383
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,19,42019,8,1600,-0.13314627914244168,3.5200132191657385,3.65315949830818,0.4566449372885226,0.3510002645125239,0.22832246864426128,19.43826149243862,0.2828549698056388,-0.14291668240909414,-0.14291668240909414,0.6784292757346696,0.2647017275605264,0.9430240904123077,0.04385771526839142,0.04650752373591645,-0.11641477138792718,1600.0,0.16704196299542673,0.24881998032409078,0.1226077056552255,0.24955319240997656,0.7464599409722723
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,20,42020,8,1600,-0.13314627914244165,3.6624763146411192,3.795622593783561,0.47445282422294516,0.35755112554452806,0.23722641211147258,19.612094644075018,0.3098933691677233,0.28251102878305223,0.11646203382049716,0.4985339129407076,0.11844985664398877,0.9430240904123077,0.013236648075059015,0.014036383809953047,-0.11413955608470212,1600.0,0.17537391399673652,0.26682045351481065,0.1588644723282555,0.2780566692174612,0.5336409070296213
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,1,43001,8,1600,-0.13314627914244165,3.937362271664232,4.070508550806673,0.5088135688508342,0.4255084537253558,0.2544067844254171,22.953773671522207,0.23272046849985714,-0.007287084235895753,-0.007287084235895753,0.419411946710633,0.12996608546779287,0.9430240904123077,0.013675015561817414,0.014501236713728535,-0.11432038212400362,1600.0,0.1817130233393982,0.26594475433618453,0.006602327325421803,0.280348971068712,0.7978342630085535
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,2,43002,8,1600,-0.13314627914244168,4.853731894675309,4.98687817381775,0.6233597717272188,0.33464347337774697,0.3116798858636094,24.93077336697225,0.41764075122522093,0.5502544721851804,0.1600357694945213,0.5613009417401443,0.13218646500356634,0.9430240904123077,0.021610576103852582,0.022916250309580145,-0.15792535752521134,1600.0,0.17114913625118788,0.27132835300290026,0.18455650361683784,0.4766978433569746,1.085313412011601
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,3,43003,8,1600,-0.13314627914244168,3.203822263761068,3.3369685429035094,0.41712106786293873,0.35132970303055605,0.20856053393146934,17.025519054835055,0.28263838020716503,0.24684465224910687,0.11929830037781324,0.4447888948832243,0.12573827656037892,0.9430240904123077,0.0014405340813706663,0.0015275686973604651,-0.12956065779772655,1600.0,0.09564911300549284,0.19334086801003045,0.1714764592032064,0.2912845273810396,0.5800226040300913
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,4,43004,8,1600,-0.13314627914244165,3.837461335667235,3.9706076148096767,0.4963259518512095,0.4346661278470737,0.24816297592560477,23.029499206184877,0.42937710778649457,0.009950835415615302,0.009950835415615302,0.5744096961552088,0.20751575106573178,0.9430240904123077,0.004912752962760707,0.005209573130430592,-0.12125013824954427,1600.0,0.2964714875051868,0.39042645075096516,0.1937052931001734,0.3409346887534962,1.5617058030038606
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,5,43005,8,1600,-0.13314627914244168,3.833832706139306,3.9669789852817474,0.4958723731602185,0.34561480714635323,0.2479361865801092,21.312216530878672,0.24315989326795143,-0.04205097482158047,-0.04205097482158047,0.41624749394783206,0.1313000982962618,0.9430240904123077,1.1963139965209897e-06,1.268593250887089e-06,-0.11969496290411116,1600.0,0.17006489366758615,0.2545062450032371,0.2745776499734292,0.27891228199699897,0.7635187350097112
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,6,43006,8,1600,-0.13314627914244165,3.7589871346967767,3.8921334138392183,0.48651667672990234,0.548613440812812,0.24325833836495114,23.08991692450126,0.3364543438283148,0.0,0.0,0.6127459128828735,0.21676499630437263,0.9430240904123077,0.0,0.0,-0.13860364433418423,1600.0,0.1986077010127095,0.2804149286627459,0.35015443046452815,0.3688409313073306,0.8412447859882377
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,7,43007,8,1600,-0.13314627914244165,4.8318517209422085,4.96499800008465,0.6206247500105811,0.5057823377441139,0.31031237500529063,26.36062421161096,0.3851568819599791,0.38180387534664,0.19830902685804808,0.618178569078739,0.14385003294842025,0.9430240904123077,0.010611206056808693,0.011252317056046018,-0.13182719017436165,1600.0,0.2616511753294617,0.3522146626686056,0.2740739647449193,0.38110974166090933,1.056643988005817
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,8,43008,8,1600,-0.13314627914244168,2.881883728070336,3.015030007212778,0.3768787509015972,0.30730109057262356,0.1884393754507986,16.78299107031456,0.3239952740221424,0.0,0.0,0.6885790346330248,0.23758405800762245,0.9430240904123077,0.0,0.0,-0.11890638917195165,1600.0,0.14559465433315685,0.22836557100526989,0.08119581489288012,0.27685600833396934,0.6850967130158097
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,9,43009,8,1600,-0.13314627914244165,3.011425005280066,3.1445712844225078,0.39307141055281347,0.5263337593654671,0.19653570527640674,19.467520825348576,0.3437773353256873,0.5197483491099636,-0.036888734438547975,0.7242745776759849,0.2426024919211859,0.9430240904123077,0.0,0.0,-0.1139156743001573,1600.0,0.2496418146765791,0.3346005503359872,0.2179186551251319,0.22778273094939594,1.0038016510079615
h2_0.05_budget_200_pop_1000_parents_20_gen_8_loss_strong,averaged_one_step_switching_5_draws,10,43010,8,1600,-0.13314627914244165,2.8724969279422674,3.005643207084709,0.37570540088558874,0.5640161369557063,0.1878527004427943,19.99044065533228,0.3132252432918233,0.15124700885090292,0.07887525134924755,0.6571113195579762,0.19724258328282923,0.9430240904123077,1.9741263894419717e-31,2.093399743986229e-31,-0.11243928290872282,1600.0,0.14213841983291786,0.2261196059989743,0.23232163965827535,0.36689432586839404,1.3567176359938458
