metric,strategy,count,mean,standard_deviation,median,q1,q3,minimum,maximum
total_realized_genetic_gain,active_learning_pev,3,4.816570574719164,0.8122354461577355,4.547861795241551,4.360300488026743,5.138486271672779,4.172739180811936,5.729110748104007
total_realized_genetic_gain,diversity_sampling,3,5.030824280135799,0.8588749017828841,4.978422499598354,4.588886267570616,5.446561402432259,4.199350035542878,5.914700305266164
total_realized_genetic_gain,fixed_sampling,3,4.644385176913031,0.8512991937803304,4.962982405889507,4.321361486677364,5.126707481636936,3.6797405674652204,5.290432557384365
total_realized_genetic_gain,random_sampling,3,4.458910894287944,0.3062416799251828,4.300778244341688,4.2824201514259865,4.556335312176773,4.264062058510284,4.811892380011858
final_mean_genetic_value,active_learning_pev,3,4.683424295576724,0.8122354461577355,4.414715516099109,4.227154208884302,5.005339992530337,4.0395929016694945,5.595964468961565
final_mean_genetic_value,diversity_sampling,3,4.8976780009933565,0.8588749017828841,4.845276220455912,4.455739988428174,5.3134151232898175,4.066203756400436,5.781554026123723
final_mean_genetic_value,fixed_sampling,3,4.511238897770589,0.8512991937803304,4.8298361267470655,4.188215207534922,4.993561202494495,3.546594288322779,5.157286278241924
final_mean_genetic_value,random_sampling,3,4.325764615145502,0.3062416799251828,4.167631965199247,4.149273872283544,4.4231890330343315,4.130915779367842,4.678746100869416
mean_prediction_accuracy,active_learning_pev,3,0.4963607435242379,0.0761650894416012,0.49089104123964783,0.4569844945783279,0.533002141327853,0.423077947917008,0.575113241416058
mean_prediction_accuracy,diversity_sampling,3,0.536688916515836,0.0452130214721311,0.5565445644804391,0.520745101206006,0.5625605558079675,0.4849456379315729,0.5685765471354959
mean_prediction_accuracy,fixed_sampling,3,0.5359878946572042,0.028501041284748237,0.5376258320658988,0.5221645189217248,0.5506302390970308,0.5067032057775509,0.5636346461281629
mean_prediction_accuracy,random_sampling,3,0.5470014060915678,0.07084446537791302,0.5408351382889143,0.5101383827343454,0.5807812955474634,0.47944162717977656,0.6207274528060125
final_genetic_variance,active_learning_pev,3,0.16548252297210156,0.13804659726181473,0.12774281033917745,0.08898671094079236,0.2231084786869487,0.05023061154240726,0.31847414703471993
final_genetic_variance,diversity_sampling,3,0.10832130586992243,0.020766412133674837,0.09777336092252818,0.09635962773540652,0.11500901153074122,0.09494589454828484,0.13224466213895425
final_genetic_variance,fixed_sampling,3,0.08664877842407837,0.014900957447300585,0.09412236929893544,0.08180622217888589,0.0952281301066994,0.06949007505883635,0.09633389091446333
final_genetic_variance,random_sampling,3,0.10117222938681443,0.061833119910970194,0.11823666091497796,0.07541776681962048,0.13545890771809013,0.03259887272426302,0.1526811545212023
variance_retention,active_learning_pev,3,0.17548069519597267,0.1463871375772152,0.13546081339589736,0.09436313647288236,0.23658831301902533,0.05326545954986738,0.3377158126421533
variance_retention,diversity_sampling,3,0.11486589470112298,0.022021083389922067,0.10368066088298958,0.10218151234426714,0.12195766014891213,0.1006823638055447,0.14023465941483468
variance_retention,fixed_sampling,3,0.09188395005497041,0.015801247920173074,0.09980908256308,0.08674881480823962,0.10098165155575599,0.07368854705339924,0.10215422054843197
variance_retention,random_sampling,3,0.10728488319166908,0.06556897171517179,0.12538031861230892,0.07997437985560521,0.14364310423805288,0.034568441098901496,0.16190588986379684
total_cycle_seconds,active_learning_pev,3,2.5921717646657876,0.10812494201421995,2.608691972000088,2.542714702498415,2.6498889305003104,2.4767374329967424,2.691085889000533
total_cycle_seconds,diversity_sampling,3,0.42128688033578027,0.005778933248999016,0.4229827410017606,0.41891624750132905,0.4245054435032216,0.4148497540008975,0.42602814600468264
total_cycle_seconds,fixed_sampling,3,0.38720666466785286,0.00912243621000378,0.3820787910008221,0.3819404295009008,0.3899089630012895,0.3818020680009795,0.39773913500175695
total_cycle_seconds,random_sampling,3,0.4283392023316992,0.05482675855842299,0.42950619099792675,0.4012222279980051,0.45603967099850706,0.37293826499808347,0.4825731509990874
