strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,episode_step
active_learning_pev,1,1,500,75,0.15,1,75,75,0.24094983384022312,20,-0.1075076288816323,0.9535162127165757,0.4821520611301079,0.5896596900117402,0.3055640745371932,1.1242172871823992,0.4130717034188255,0.4185844769817777,0.5277862770017236,75.0,30001,30001,50.0,25.0,True,0.1503228833310009,0.24094983384022312,
active_learning_pev,1,2,500,75,0.15,1,75,75,0.6165524354329335,20,0.3055640745371932,1.1242172871823992,1.7574306463416114,1.4518665718044181,1.9289314671870406,0.7694648223738263,1.6233673926498473,0.30110724800033495,0.36652177502401173,150.0,30001,30002,50.0,25.0,True,0.6186511747237061,0.6165524354329335,
active_learning_pev,1,3,500,75,0.15,1,75,75,0.485284266553071,20,1.9289314671870406,0.7694648223738263,0.7586478349779172,-1.1702836322091232,2.643609084830301,0.3632257859389374,0.7146776176432605,0.2648291970253922,0.3289788030087948,225.0,30001,30003,50.0,25.0,True,0.3084840424497993,0.485284266553071,
active_learning_pev,1,4,500,75,0.15,1,75,75,0.36715338418560495,20,2.643609084830301,0.3632257859389374,0.35539180615119675,-2.288217278679104,3.0197348890367013,0.5471182505462276,0.3761258042064002,0.18932612700155005,0.250131499953568,300.0,30001,30004,50.0,25.0,True,0.33463971234574524,0.36715338418560495,
active_learning_pev,1,5,500,75,0.15,1,75,75,0.5699721435583186,20,3.0197348890367013,0.5471182505462276,0.9146058494592089,-2.105129039577492,3.925221005293418,0.24020361449963015,0.9054861162567169,0.19249393400968984,0.24700098700122908,375.0,30001,30005,50.0,25.0,True,0.5616068390961281,0.5699721435583186,
active_learning_pev,1,6,500,75,0.15,1,75,75,-0.038855752946582015,20,3.925221005293418,0.24020361449963015,-0.07386962810040512,-3.9990906333938234,3.8309524432513773,0.4064720887910702,-0.09426856204204093,0.13275680202059448,0.1922670750063844,450.0,30001,30006,50.0,25.0,True,0.11139182508731378,-0.038855752946582015,
active_learning_pev,1,7,500,75,0.15,1,75,75,0.38632234683527794,20,3.8309524432513773,0.4064720887910702,0.30187863386302016,-3.529073809388357,4.058755996395243,0.3383544518516995,0.22780355314386602,0.11980830802349374,0.24846540304133669,525.0,30001,30007,50.0,25.0,True,0.4829134779833453,0.38632234683527794,
active_learning_pev,1,8,500,75,0.15,1,75,75,0.4077563129559968,20,4.058755996395243,0.3383544518516995,0.38918698892298925,-3.669569007472254,4.4209179787665285,0.10891732692179161,0.36216198237128516,0.19169547402998433,0.26596779900137335,600.0,30001,30008,50.0,25.0,True,0.05372185844333392,0.4077563129559968,
diversity_sampling,1,1,500,75,0.15,2,150,75,0.16689531958700957,20,-0.10750762888163229,0.9535162127165758,0.36931227569575537,0.47681990457738765,0.4166338892549475,1.4611920613765645,0.5241415181365798,0.19897847902029753,0.10825279698474333,150.0,30001,30001,,,,,,
diversity_sampling,1,2,500,75,0.15,2,150,75,0.4044834345116044,20,0.4166338892549475,1.4611920613765645,1.4186793070232606,1.0020454177683131,1.444080442570619,0.5421793243997689,1.0274465533156716,0.14101210300577804,0.08050772396381944,300.0,30001,30002,,,,,,
