strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
active_learning_pev,1,30001,8,600,-0.1075076288816323,2.0349552377156703,2.1424628665973025,0.2678078583246628,0.31025561918078665,0.35707714443288374,9.407072328708875,0.22644276802883684,-0.159774491871168,-0.159774491871168,0.503672840445173,0.2136815490245925,0.9535162127165757,0.061616914274062615,0.0646207305678794,-0.12177113248137042,600.0,0.23710695398767712,0.32522932174470043,0.22215392472101367,0.22644276802883684,2.6018345739576034
active_learning_pev,2,30002,8,600,-0.18162254825809987,2.40831814681838,2.58994069507648,0.32374258688456,0.34550853852589075,0.43165678251274664,11.21459045402056,0.23726009117823127,0.23607018862788934,-0.13523877011333774,0.5612047512422901,0.20525227901714213,0.9366901329390922,0.10319632225697956,0.11017124941113247,-0.11238151537667428,600.0,0.20671189375570975,0.28048861425486393,0.24462716869197804,0.23726009117823127,2.2439089140389115
active_learning_pev,3,30003,8,600,-0.12222805433604182,3.144911591704079,3.2671396460401207,0.4083924557550151,0.4314238166888465,0.5445232743400201,14.964957055837026,0.24567365030068034,0.515890892354774,-0.043679520804347755,0.5248678042637542,0.22890865202484217,0.9583081974328178,0.12018793309650325,0.12541678493252065,-0.10601784438536371,600.0,0.20509168338321615,0.26737411325302674,0.20239441305054395,0.24567365030068034,2.138992906024214
active_learning_pev,4,30004,8,600,-0.11527598875911042,2.8023683599681446,2.917644348727255,0.36470554359090684,0.2764426518374947,0.4862740581212092,15.17671294546387,0.20366987387047042,0.20258506484740968,-0.08114105858677859,0.4137632252878143,0.15620136406337387,0.9122437426261061,0.16201396688925024,0.1775994280024934,-0.11170454195817822,600.0,0.2222353948673117,0.2854828939962317,0.20826083132036266,0.20366987387047042,2.283863151969854
active_learning_pev,5,30005,8,600,-0.16874556459073284,2.917646515444455,3.086392080035188,0.3857990100043985,0.400619082427804,0.5143986800058646,18.08660387955027,0.08256999314447888,-0.14827345313737872,-0.34137066757085216,0.3060894750108543,0.23741333803844994,0.9186011247010438,0.013235376597118471,0.014408186797535097,-0.13256678966470226,600.0,0.20987966362736188,0.2738085329910973,0.11286635076586374,0.08256999314447888,2.1904682639287785
active_learning_pev,6,30006,8,600,-0.13424140778442212,3.1287680181088553,3.2630094258932774,0.4078761782366597,0.6458907697611196,0.5438349043155463,16.10912410455597,0.23597185105474028,0.11113610073611735,-0.109893232497035,0.7076225880070118,0.32333943440653967,1.0181977430476035,0.09156510547565584,0.08992860777867087,-0.13512617993520679,600.0,0.19121217000065371,0.26653460699890275,0.20276514568914006,0.23597185105474028,2.132276855991222
active_learning_pev,7,30007,8,600,-0.13346250577962326,3.025989020439297,3.1594515262189202,0.39493144077736503,0.32032645496469325,0.52657525436982,16.61741256268363,0.3120520163002243,-0.07837867899673644,-0.07837867899673644,0.5522152404561537,0.20525813431145692,0.937775281438865,0.3253165331881325,0.346902439877693,-0.10558431700967333,600.0,0.20377263824775582,0.2895845233651926,0.21660150638415326,0.3120520163002243,2.3166761869215406
active_learning_pev,8,30008,8,600,-0.17662318517595765,2.6719820362300757,2.848605221406033,0.3560756526757542,0.7921541615164025,0.4747675369010055,13.677080352235262,0.2816061898284551,0.24954199628596543,-0.12342220587179613,0.5074431575426879,0.2415761288657163,0.9215156781712853,0.024193039532298587,0.026253530032509922,-0.1407208900107391,600.0,0.20213058526132954,0.26592739061743487,0.26905105481966834,0.2816061898284551,2.127419124939479
active_learning_pev,9,30009,8,600,-0.14714781314480654,2.075923106447285,2.2230709195920917,0.27788386494901146,0.3018131065025917,0.37051181993201526,12.37458416298151,0.20077853497155562,0.5167757019335404,-0.1622404733622313,0.5167757019335404,0.21427911975700786,0.9541386343219832,0.043841791593229984,0.04594907911299937,-0.12145346305144109,600.0,0.1959799300020677,0.27445579111372354,0.2029467615805873,0.20077853497155562,2.1956463289097883
active_learning_pev,10,30010,8,600,-0.12821328541740717,2.7567263368562998,2.884939622273707,0.3606174527842134,0.24692504708197482,0.4808232703789512,13.423805933064635,0.2871320186891889,0.07546766144860156,0.07546766144860156,0.58096958920402,0.1409624994169265,0.908373259157212,0.13740313533532025,0.1512628580268895,-0.11352610040412763,600.0,0.2115924022582476,0.2764417887519812,0.22996446434368117,0.2871320186891889,2.2115343100158498
active_learning_pev,11,30011,8,600,-0.18874134097415934,1.6018864426340447,1.790627783608204,0.2238284729510255,0.41108030325280903,0.2984379639347007,8.452344507022147,0.19546875499858307,0.22309079153537098,-0.023846938647448433,0.5034155971179352,0.18167640255589318,0.9333520282059709,0.12156799143110385,0.1302488104780508,-0.09837572556146112,600.0,0.18231055624346482,0.25176867000118364,0.042417168701313346,0.19546875499858307,2.014149360009469
active_learning_pev,12,30012,8,600,-0.17448536362579398,5.173927639476285,5.348413003102079,0.6685516253877599,0.4450764695871264,0.8914021671836799,26.417712672121212,0.35554718997847407,0.07739570098618134,0.07739570098618134,0.559109469500944,0.15104014739014504,0.9568604164794672,0.06039459726650985,0.06311745812280221,-0.13861817973491447,600.0,0.2069175247597741,0.27569770313129993,0.3415056972459766,0.35554718997847407,2.2055816250503995
active_learning_pev,13,30013,8,600,-0.15535338229933118,3.055215260947811,3.210568643247142,0.40132108040589276,0.45992514391905837,0.5350947738745236,15.954685709444501,0.22273803036076822,0.3020753651893079,0.02811031388190783,0.5029559761850372,0.15730304288625452,1.0103786499260579,0.0935752180431539,0.09261400965865814,-0.11378944600298592,600.0,0.20723218050261494,0.27012497963005444,0.12363567752272714,0.22273803036076822,2.1609998370404355
