strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,episode_step
active_learning_pev,1,1,1000,200,0.2,1,200,200,0.5121067531829115,20,-0.13314627914244165,0.9430240904123077,1.7154000888757737,1.8485463680182153,1.6017549471240702,0.814972342824986,1.7349012262665118,0.6834691900003236,0.8185200919979252,200.0,20001,20001,50.0,150.0,True,0.3961962958449378,0.5121067531829115,
active_learning_pev,1,2,1000,200,0.2,1,200,200,0.6839211989643542,20,1.6017549471240702,0.814972342824986,1.13651404901729,-0.46524089810678015,2.7772398401754907,0.6671003215857865,1.1754848930514206,0.5371539920161013,0.6390548629860859,400.0,20001,20002,50.0,150.0,True,0.48801933009038445,0.6839211989643542,
active_learning_pev,1,3,1000,200,0.2,1,200,200,0.5647690626736903,20,2.7772398401754907,0.6671003215857865,1.1007878962209368,-1.676451943954554,3.882059814335879,0.6339575945675481,1.1048199741603884,0.38155595801072195,0.4975092269887682,600.0,20001,20003,50.0,150.0,True,0.30137697814474596,0.5647690626736903,
active_learning_pev,1,4,1000,200,0.2,1,200,200,0.4638773608823654,20,3.882059814335879,0.6339575945675481,1.057794215466077,-2.824265598869802,4.955011130318491,0.7361117847170127,1.0729513159826118,0.3208926430088468,0.4414363000250887,800.0,20001,20004,50.0,150.0,True,0.2973725942254974,0.4638773608823654,
active_learning_pev,1,5,1000,200,0.2,1,200,200,0.7179194005536113,20,4.955011130318491,0.7361117847170127,0.8749587155964965,-4.080052414721995,5.85629281173987,0.27828694058265646,0.9012816814213789,0.3742796059814282,0.4595650230185129,1000.0,20001,20005,50.0,150.0,True,0.5025565106493974,0.7179194005536113,
active_learning_pev,1,6,1000,200,0.2,1,200,200,0.3508541742040022,20,5.85629281173987,0.27828694058265646,0.18037968414746414,-5.6759131275924055,6.043746812959288,0.10247628633094091,0.18745400121941813,0.32679408602416515,0.41403123099007644,1200.0,20001,20006,50.0,150.0,True,0.10717653374470909,0.3508541742040022,
active_learning_pev,1,7,1000,200,0.2,1,200,200,0.3316437179153276,20,6.043746812959288,0.10247628633094091,0.01989332114710187,-6.023853491812186,6.055361305947726,0.05104306767979605,0.011614492988438307,0.2959861890121829,0.3795321409997996,1400.0,20001,20007,50.0,150.0,True,0.23040373311993861,0.3316437179153276,
active_learning_pev,1,8,1000,200,0.2,1,200,200,0.35303251781655115,20,6.055361305947726,0.05104306767979605,0.15454823405261378,-5.900813071895112,6.201510762044528,0.03629233973695527,0.14614945609680152,0.24615053602610715,0.3214994140143972,1600.0,20001,20008,50.0,150.0,True,-0.06871603671528786,0.35303251781655115,
active_learning_pev,1,9,1000,200,0.2,1,200,200,0.23340651426291978,20,6.201510762044528,0.03629233973695527,0.04707978867736544,-6.1544309733671625,6.240567790930511,0.038074875489777935,0.03905702888598306,0.18958632499561645,0.2702407840115484,1800.0,20001,20009,50.0,150.0,True,0.3064441551715309,0.23340651426291978,
active_learning_pev,1,10,1000,200,0.2,1,200,200,0.6477775831297835,20,6.240567790930511,0.038074875489777935,0.3890447964506393,-5.851522994479872,6.630121153603627,0.01588080071018406,0.3895533626731158,0.2262735530093778,0.3475288019981235,2000.0,20001,20010,50.0,150.0,True,0.5238909491907557,0.6477775831297835,
active_learning_pev,1,11,1000,200,0.2,1,200,200,0.21482128655579977,20,6.630121153603627,0.01588080071018406,0.0485558288060413,-6.581565324797586,6.674987669924148,0.004112389890494276,0.0448665163205213,0.253359880996868,0.33956948699778877,2200.0,20001,20011,50.0,150.0,True,-0.011727829122655025,0.21482128655579977,
active_learning_pev,1,12,1000,200,0.2,1,200,200,0.17362408635982177,20,6.674987669924148,0.004112389890494276,0.056235351075329267,-6.618752318848819,6.725668938141682,0.0035109525946367902,0.05068126821753438,0.20199456097907387,0.2990842270082794,2400.0,20001,20012,50.0,150.0,True,-0.3774044672607972,0.17362408635982177,
