metric,strategy,count,mean,standard_deviation,median,q1,q3,minimum,maximum
total_realized_genetic_gain,active_learning_pev,20,2.0449566484278026,0.8891758511242775,2.0831078162195893,1.7520456677722827,2.529981656027566,-0.18497696863357138,3.445682124307809
total_realized_genetic_gain,diversity_sampling,20,1.956202635143051,0.9780728402873803,2.0382051369637204,1.6339176986081938,2.353636459047726,-0.24497928363009502,3.696482199982754
total_realized_genetic_gain,fixed_sampling,20,1.8152765046819561,0.8412365413371782,1.6623122346798962,1.3269508321948194,2.2619423271708596,0.2783591215825638,3.2204275983634076
total_realized_genetic_gain,linear_q_learning,20,1.95687260916457,0.9995057416370214,2.096150265099224,1.532400111720999,2.323418359214988,-0.5628508203456051,4.079837879797388
total_realized_genetic_gain,random_sampling,20,1.5489914294506808,0.8572908729172596,1.6294428462798383,1.1044240627195818,1.9449051950652825,0.11615240331252485,3.545273079350459
final_mean_genetic_value,active_learning_pev,20,1.8984754643453052,0.8958327222952951,1.966240632898577,1.5975712664313126,2.3923712582935606,-0.36659951689167125,3.2985343111630026
final_mean_genetic_value,diversity_sampling,20,1.809721451060554,0.9752126702816051,1.908034630713193,1.4603083715232223,2.187308199574826,-0.419464647255889,3.5385254723281365
final_mean_genetic_value,fixed_sampling,20,1.6687953205994588,0.8363308521603986,1.5165298389300055,1.1889103682268427,2.1446028230556884,0.1395133877548269,3.0438044131874498
final_mean_genetic_value,linear_q_learning,20,1.8103914250820725,0.9959617714845271,1.9717810178298572,1.4132763114477513,2.1927847185083964,-0.7515921613197644,3.9032146946214303
final_mean_genetic_value,random_sampling,20,1.4025102453681835,0.8584060606137649,1.4768924344019791,0.9914355781381954,1.79358555945094,-0.07582790710524873,3.370787715724665
mean_prediction_accuracy,active_learning_pev,20,0.15467938946574464,0.060592583934719314,0.15565909724137011,0.12486974819046057,0.1788442552969271,0.040020940874411104,0.31391755261189175
mean_prediction_accuracy,diversity_sampling,20,0.17088466308139377,0.07534617073438242,0.19021830958838853,0.1217998794154647,0.23052560249608792,0.012838463700718249,0.2805381127410975
mean_prediction_accuracy,fixed_sampling,20,0.14894356958922653,0.07851538400158904,0.14116004888760741,0.10374554408830354,0.22097552529149983,0.0035006626000720215,0.25292723734043626
mean_prediction_accuracy,linear_q_learning,20,0.18975233415630471,0.07209322706379048,0.21612215567127716,0.13869607175919213,0.23338991098711323,-0.004861845587535878,0.3153337952523225
mean_prediction_accuracy,random_sampling,20,0.13405808016571213,0.07052656826392668,0.1347380959706593,0.10313243403037418,0.17454120745346147,0.016962974568238344,0.2649388084804055
final_genetic_variance,active_learning_pev,20,0.1221277107263365,0.07903729697647732,0.1089739758324216,0.0768319955408629,0.1314173199467804,0.01437995817120327,0.33116390770230725
final_genetic_variance,diversity_sampling,20,0.11097823622387196,0.0733080264669916,0.0982421657286855,0.06830402812682196,0.1294959941665469,0.020271588897528843,0.3045523185666728
final_genetic_variance,fixed_sampling,20,0.06153372181664283,0.06125418305285984,0.03594310072331901,0.01937047564115845,0.08256490937553221,0.0019817089160563844,0.22048315882402314
final_genetic_variance,linear_q_learning,20,0.09597295024897294,0.06470609165922316,0.09094323976581282,0.04421739753532062,0.12154425954139805,0.008228263548005202,0.25626481142261504
final_genetic_variance,random_sampling,20,0.09053709666338587,0.10299887949057371,0.06176552072517978,0.03307062132686968,0.10459655370607976,0.001602827203731832,0.4580855982442061
variance_retention,active_learning_pev,20,0.13154284427544044,0.08910338420549345,0.11722533731890192,0.0807219955294152,0.1488602017288259,0.015112051034671914,0.3740073574679879
variance_retention,diversity_sampling,20,0.11718998613025995,0.07638457728365171,0.10704404657082986,0.07292903912574912,0.13769188900515933,0.022894171795006097,0.31780205927751487
variance_retention,fixed_sampling,20,0.0645043932996846,0.06227113411634487,0.039291937410665244,0.02101595322562226,0.08707321242046595,0.0020769611928193213,0.21821834699313833
variance_retention,linear_q_learning,20,0.10219061765121258,0.06872918491150327,0.09443033128979758,0.047635466263408706,0.13088742306945844,0.008143742495555866,0.2735854712363865
variance_retention,random_sampling,20,0.09824149211053454,0.11800503626744382,0.06603410724200198,0.03499842378715487,0.10939052840871713,0.0015741806684174662,0.5348991550265724
total_cycle_seconds,active_learning_pev,20,2.264942804875318,0.08285844968858366,2.2773398800054565,2.2325320703239413,2.3017633319686865,2.1018652870552614,2.456583002989646
total_cycle_seconds,diversity_sampling,20,0.44814277975237926,0.02319833242552689,0.4400405074993614,0.43432834556733724,0.45706642988079693,0.420321210171096,0.514020934002474
total_cycle_seconds,fixed_sampling,20,0.45878826892294455,0.02419562151873149,0.45274054902256466,0.44254971032205503,0.4690636305458611,0.42708229494746774,0.5192725780070759
total_cycle_seconds,linear_q_learning,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cycle_seconds,random_sampling,20,0.4589401391422143,0.031146956925531235,0.4570476555090863,0.4355892084859079,0.47840143712528516,0.410764389031101,0.5334660429507494
