episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind,model_available_steps,uncertainty_available_steps,pev_available_steps,action_random_count,action_diversity_count,action_highest_pev_count,action_highest_gebv_count,action_stop_count
1,30001,1.0,3.806747471955793,24,0,8,0.11436652146583381,0.11211461086432871,,30,linear_q,8,8,8,10,9,2,2,1
2,30002,0.997625,3.6311623772890407,24,0,8,0.2463315311177241,0.11857943668367132,,30,linear_q,8,8,8,10,7,1,4,2
3,30003,0.99525,3.9628079330548482,24,0,8,0.2373974036444615,0.09741649554399372,,30,linear_q,8,8,8,8,12,2,1,1
4,30004,0.992875,2.600868401808847,24,0,8,0.09178358529048858,0.10672111085886353,,30,linear_q,8,8,8,13,6,2,0,3
5,30005,0.9905,3.5808078210043432,24,0,8,0.24002587176124046,0.1478922564432763,,30,linear_q,8,8,8,9,10,4,0,1
6,30006,0.988125,2.9543576206447697,24,0,8,0.3893755775933705,0.1158095048203014,,30,linear_q,8,8,8,14,8,1,0,1
7,30007,0.98575,3.2989468928440315,24,0,8,0.3463172522173197,0.07223802957146598,,30,linear_q,8,8,8,11,9,3,1,0
8,30008,0.983375,3.4494307040431074,24,0,8,-0.41592490447233255,0.12059101489371113,,30,linear_q,8,8,8,13,6,2,2,1
9,30009,0.981,3.144579289432076,24,0,8,0.06772328231737057,0.007291413984326463,,30,linear_q,8,8,8,9,8,1,1,5
10,30010,0.978625,1.9376365071395618,24,0,8,-0.35640474701751385,0.035213987273232404,,30,linear_q,8,8,8,5,15,1,1,2
11,30011,0.97625,3.60191557718072,24,0,8,0.3628410827472355,0.21029648586829366,,30,linear_q,8,8,8,13,4,3,1,3
12,30012,0.973875,3.3668852299910585,24,0,8,0.1435645764568445,0.05616166012522304,,30,linear_q,8,8,8,5,12,0,4,3
13,30013,0.9715,3.4658666890941876,24,0,8,-0.31733223306781344,0.09900952356696316,,30,linear_q,8,8,8,8,10,2,2,2
14,30014,0.969125,2.5955345337525224,24,0,8,-0.059480280121748,0.06376479490989236,,30,linear_q,8,8,8,8,11,2,1,2
15,30015,0.96675,2.5819840017731073,24,0,8,0.02926199416111852,0.024238854928162933,,30,linear_q,8,8,8,13,6,2,2,1
16,30016,0.964375,5.078419387744102,24,0,8,0.2437459393908199,0.2479309340987325,,30,linear_q,8,8,8,8,12,2,2,0
17,30017,0.962,3.6241523882942555,24,0,8,0.14076129592019226,0.0326573257398474,,30,linear_q,8,8,8,9,8,3,1,3
18,30018,0.959625,2.0938705140617473,24,0,8,-0.03940258341097014,0.09387733507134136,,30,linear_q,8,8,8,9,10,2,2,1
19,30019,0.95725,2.3487692240113414,24,0,8,0.0,0.0,,30,linear_q,8,8,8,13,5,2,4,0
