metric,strategy,count,mean,standard_deviation,median,q1,q3,minimum,maximum
total_realized_genetic_gain,active_learning_pev,20,3.1683138068418906,0.9612528817177942,3.087517759693771,2.5496232406487147,3.734734358976072,0.868997660029036,5.076266625624756
total_realized_genetic_gain,diversity_sampling,20,3.155373385112356,0.6336082989256397,3.078196823808593,2.6678467802118395,3.59034000082518,2.2395929423988807,4.409258425735054
total_realized_genetic_gain,fixed_sampling,20,2.9477480940801257,0.760713596366348,2.882254249486327,2.3926079750909643,3.57098928079957,1.782373093914268,4.294192057164273
total_realized_genetic_gain,linear_q_learning,20,3.133232915864588,0.6698154733284937,3.1721563351132778,2.6098520354430437,3.6192833160490974,1.9097319768170944,4.1070602921941495
total_realized_genetic_gain,random_sampling,20,2.585904336956638,0.7007605039536416,2.6400992353700605,2.3211297097044814,3.0200649931145396,0.9224702850566767,4.092404433641643
final_mean_genetic_value,active_learning_pev,20,3.0218326227593932,0.9682052068747481,2.952829825953347,2.361482211541395,3.6052087684681107,0.6873751117709361,4.937420891797019
final_mean_genetic_value,diversity_sampling,20,3.008892201029859,0.6310258080412118,2.947023394337072,2.5131808921076404,3.420159486475682,2.1053515346144587,4.287030371399012
final_mean_genetic_value,fixed_sampling,20,2.8012669099976284,0.7672516390669835,2.7126901877050367,2.2625965259222927,3.414985062161417,1.646929611550541,4.165978771746866
final_mean_genetic_value,linear_q_learning,20,2.986751731782091,0.6734609232213525,3.013623319802364,2.504080550879969,3.496819468879757,1.7517752491624772,3.9995526633125174
final_mean_genetic_value,random_sampling,20,2.4394231528741406,0.7005230637556976,2.500142519101862,2.1807087523568534,2.8348876464774713,0.7458470998807191,3.953558699813906
mean_prediction_accuracy,active_learning_pev,20,0.2752501445445196,0.07021238494352446,0.26338465361004637,0.24239311991325085,0.31512303495262983,0.1596023476960834,0.4529885377903123
mean_prediction_accuracy,diversity_sampling,20,0.27055476424065455,0.06132172215748402,0.262015787726326,0.23149752775059915,0.30493209847721486,0.1825609129645475,0.3988381548267679
mean_prediction_accuracy,fixed_sampling,20,0.27182426678211263,0.07124913383134335,0.2870872175505075,0.2106865714718893,0.31082255323667535,0.13951449903759056,0.4339021247562366
mean_prediction_accuracy,linear_q_learning,20,0.2932565616876656,0.06457776928761245,0.2800806557482459,0.24005942655843088,0.3450984151889194,0.19705076967210633,0.41307619952974517
mean_prediction_accuracy,random_sampling,20,0.25446692733880766,0.057977781912018606,0.2538150521933319,0.20918056805658158,0.28489379397450854,0.16918479771848272,0.38079058106035263
final_genetic_variance,active_learning_pev,20,0.07504374925419163,0.06075285454237076,0.061383956345921545,0.03257335825567675,0.11400481590005715,0.002271803079407645,0.24480943361982252
final_genetic_variance,diversity_sampling,20,0.0841305004554114,0.07709686874565273,0.05078956230947632,0.03243544106915354,0.11254313201139682,0.02883572456218798,0.3307508607162865
final_genetic_variance,fixed_sampling,20,0.04259809739984992,0.045747203351993275,0.03173101110355401,0.009880998177467765,0.05673131776606496,0.0,0.17615026367217992
final_genetic_variance,linear_q_learning,20,0.06821029767540013,0.06573539431008027,0.050012105653870986,0.01399282141089903,0.10763857435761148,0.0011675875210261628,0.2624913294129808
final_genetic_variance,random_sampling,20,0.050227898396782045,0.05179372011844595,0.03343542633266122,0.022814964748477783,0.07231817106362082,0.0,0.22819345327179716
variance_retention,active_learning_pev,20,0.07963839345054452,0.06428883553912738,0.06605387601030162,0.03258783915441989,0.1195270787828689,0.0023316894645392613,0.2609538546859982
variance_retention,diversity_sampling,20,0.08906397865251606,0.08179411673148802,0.055090495622742305,0.035078900026839104,0.11737354570892355,0.03009024094694704,0.35256285171862745
variance_retention,fixed_sampling,20,0.04501961766699438,0.049081315583963066,0.034060404331191604,0.010726539830094934,0.05890765421561927,0.0,0.19309561188667665
variance_retention,linear_q_learning,20,0.07230649430954952,0.06952634592892187,0.05139295818197022,0.015327493151874132,0.1130864390057224,0.001198365979156114,0.275108165596406
variance_retention,random_sampling,20,0.05386477857069762,0.055518313802669673,0.034620816725177486,0.023930304879019385,0.07959877325848007,0.0,0.24361680052696288
total_cycle_seconds,active_learning_pev,20,2.2158263719349636,0.09662349699195054,2.232451691495953,2.1715232728456613,2.2642659392295172,2.0131025149603374,2.4271196190384217
total_cycle_seconds,diversity_sampling,20,0.4582638880063314,0.014564037083224587,0.4576856510248035,0.4454333023750223,0.4654458213772159,0.43800124916015193,0.49400494899600744
total_cycle_seconds,fixed_sampling,20,0.45791134133178274,0.026454963606267572,0.45087767142103985,0.44389648649666924,0.46189171899459325,0.42938315006904304,0.5257172040292062
total_cycle_seconds,linear_q_learning,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cycle_seconds,random_sampling,20,0.4574718999880133,0.03229048426455662,0.45322696687071584,0.4319777727359906,0.4837986907805316,0.4082576749497093,0.5250514901708812
