strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
active_learning_pev,1,30001,8,600,-0.1075076288816323,4.575590275554754,4.683097904436386,0.5853872380545483,0.5087408108261653,0.7805163174060644,24.666134758669422,0.3893779160599399,-0.04957698765112059,-0.04957698765112059,0.6431737754203949,0.2561281959025104,0.9535162127165757,0.050790790745160144,0.053266834971223774,-0.1393903736427259,600.0,0.22108327562455088,0.2917369271235657,0.3256034011053549,0.3893779160599399,2.3338954169885255
active_learning_pev,2,30002,8,600,-0.18162254825809987,2.9949046041281573,3.176527152386257,0.39706589404828213,0.29477443265008957,0.5294211920643762,14.86471866632589,0.38525271241348735,0.6396012525655544,0.1514283482883134,0.6396012525655544,0.1438367328804049,0.9366901329390922,0.059310573986205206,0.06331931115800687,-0.11394275776677099,600.0,0.2094128280004952,0.28775128612323897,0.3139119010293495,0.38525271241348735,2.3020102889859118
active_learning_pev,3,30003,8,600,-0.12222805433604182,3.2262540964192215,3.348482150755263,0.41856026884440795,0.43116631710334763,0.5580803584592106,17.93048334085755,0.29816170988444446,0.46688610515970896,-0.10864789326919073,0.46688610515970896,0.1814448596986026,0.9583081974328178,0.06720637814009327,0.07013023401044712,-0.10037551496459911,600.0,0.23960119175899308,0.3056199812563136,0.2785438342837882,0.29816170988444446,2.444959850050509
active_learning_pev,4,30004,8,600,-0.11527598875911042,2.198960690218919,2.3142366789780295,0.28927958487225364,0.4233144619262847,0.3857061131630049,15.573704580094544,0.21607039216999702,-0.41043968040869433,-0.41043968040869433,0.5705046938494946,0.2936538575114788,0.9122437426261061,0.02107756024918269,0.023105184792505153,-0.1215532499777511,600.0,0.20320381801138865,0.30339441287651425,0.2043745892380674,0.21607039216999702,2.427155303012114
active_learning_pev,5,30005,8,600,-0.16874556459073284,4.209644007909474,4.378389572500207,0.5472986965625258,0.5122119464449038,0.7297315954167012,25.156688016803308,0.3235211529227152,0.06175064041701588,0.008352172376545954,0.6063534393946443,0.224453115958068,0.9186011247010438,0.025461655614301172,0.02771785808839239,-0.11755651728493713,600.0,0.19662875637004618,0.2723041698700399,0.31361510058716036,0.3235211529227152,2.1784333589603193
active_learning_pev,6,30006,8,600,-0.13424140778442212,3.584700855381746,3.718942263166168,0.464867782895771,0.2773041759190827,0.6198237105276947,16.340468237031565,0.3062678934984486,-0.06965380021466831,-0.06965380021466831,0.5704605469540898,0.2088385800686085,1.0181977430476035,0.10118291865903085,0.09937452655922877,-0.11503506875818484,600.0,0.21361848587548593,0.29696888388571097,0.2245102457777824,0.3062678934984486,2.3757510710856877
active_learning_pev,7,30007,8,600,-0.13346250577962326,4.445552392644695,4.579014898424318,0.5723768623030397,0.4345335958108347,0.7631691497373863,25.178249229076727,0.3972052187116882,0.34261337625919364,0.12485221787132474,0.6108654876115788,0.18924250137507118,0.937775281438865,0.019016026571445313,0.020277807431934317,-0.11710948827576638,600.0,0.21033941374480492,0.2851307921227999,0.2571789019744384,0.3972052187116882,2.2810463369823992
active_learning_pev,8,30008,8,600,-0.17662318517595765,2.362542612147584,2.539165797323542,0.31739572466544275,0.4188683725727416,0.4231942995539237,13.492820516689488,0.26364689254208995,-0.02188430147873316,-0.02188430147873316,0.5744021358521663,0.1955485476747306,0.9215156781712853,0.025342964603945868,0.02750139276440534,-0.1028753208503413,600.0,0.19863578250078717,0.29516548762330785,0.246556400730435,0.26364689254208995,2.361323900986463
active_learning_pev,9,30009,8,600,-0.14714781314480654,4.331023810797412,4.478171623942219,0.5597714529927773,0.4598297018023606,0.7463619373237032,24.356749163967038,0.36006130466017217,0.12624760386251882,-0.10548324481579797,0.6189359363446287,0.24333293939684647,0.9541386343219832,0.021565340187629976,0.022601893909216283,-0.1173437975997094,600.0,0.19992265126347775,0.27487631762051024,0.2991739369109598,0.36006130466017217,2.199010540964082
active_learning_pev,10,30010,8,600,-0.12821328541740717,3.2267614344655224,3.3549747198829296,0.41937183998536626,0.5443454209989249,0.5591624533138215,18.37674925456021,0.3094287442189452,0.4366896538765359,-0.22350113371314592,0.6914392307008129,0.2796935200128877,0.908373259157212,0.07517501341121108,0.08275784503053117,-0.12511848315666363,600.0,0.2271392978655058,0.2942645468938281,0.2875215137462394,0.3094287442189452,2.3541163751506247
