strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,episode_step
active_learning_pev,1,1,500,75,0.15,1,75,75,0.25364013032557936,20,-0.1075076288816323,0.9535162127165757,0.5073451209133212,0.6148527497949535,0.41987127942338254,1.1803290085430171,0.5273789083050149,0.36652265896555036,0.4689977879752405,75.0,30001,30001,50.0,25.0,True,0.159884805291511,0.25364013032557936,
active_learning_pev,1,2,500,75,0.15,1,75,75,0.6036889452659072,20,0.41987127942338254,1.1803290085430171,1.4072530082147128,0.9873817287913302,1.8407377258862172,0.37869237243880627,1.4208664464628347,0.307460572978016,0.37813990301219746,150.0,30001,30002,50.0,25.0,True,0.587315809277335,0.6036889452659072,
active_learning_pev,1,3,500,75,0.15,1,75,75,0.45435502209082734,20,1.8407377258862172,0.37869237243880627,1.0449201283796596,-0.7958175975065576,2.947812994299972,0.6503773023253782,1.1070752684137548,0.15388822002569214,0.21361035003792495,225.0,30001,30003,50.0,25.0,True,0.2533396771902951,0.45435502209082734,
active_learning_pev,1,4,500,75,0.15,1,75,75,0.3874196724122158,20,2.947812994299972,0.6503773023253782,0.5478708713105589,-2.399942122989413,3.469283685270802,0.4053628546703239,0.5214706909708302,0.21463662304449826,0.273179414041806,300.0,30001,30004,50.0,25.0,True,0.297267016152757,0.3874196724122158,
active_learning_pev,1,5,500,75,0.15,1,75,75,0.1648801341340801,20,3.469283685270802,0.4053628546703239,0.1797230462939904,-3.2895606389768117,3.683428881435397,0.3675019154244346,0.2141451961645946,0.20625826303148642,0.2718197969952598,375.0,30001,30005,50.0,25.0,True,0.11424262259489794,0.1648801341340801,
active_learning_pev,1,6,500,75,0.15,1,75,75,0.5011967125482293,20,3.683428881435397,0.3675019154244346,0.7401489892749,-2.943279892160497,4.408791160145542,0.19668129758232106,0.7253622787101452,0.1494346719700843,0.2628817609511316,450.0,30001,30006,50.0,25.0,True,0.465012217670743,0.5011967125482293,
active_learning_pev,1,7,500,75,0.15,1,75,75,0.4236549457432663,20,4.408791160145542,0.19668129758232106,0.2554703899774867,-4.1533207701680555,4.642201072873564,0.08009828778761725,0.23340991272802203,0.14529838698217645,0.19113952002953738,525.0,30001,30007,50.0,25.0,True,0.3280741667920392,0.4236549457432663,
active_learning_pev,1,8,500,75,0.15,1,75,75,0.5878293408586502,20,4.642201072873564,0.08009828778761725,0.3211391423274157,-4.321061930546149,4.930484109159723,0.08394671884942098,0.2882830362861588,0.12448207201668993,0.18298592796782032,600.0,30001,30008,50.0,25.0,True,0.502873773561325,0.5878293408586502,
diversity_sampling,1,1,500,75,0.15,1,75,75,0.17836228712152596,20,-0.10750762888163229,0.9535162127165758,0.36931227569575537,0.47681990457738765,0.3124134336817145,1.5888459827444337,0.41992106256334677,0.2592265739804134,0.12587726302444935,75.0,30001,30001,,,,,,
diversity_sampling,1,2,500,75,0.15,1,75,75,0.6667803235776215,20,0.3124134336817145,1.5888459827444337,1.663314523853491,1.3509010901717766,1.6069971301097288,0.6192130435735149,1.2945836964280142,0.17581476899795234,0.0692323760013096,150.0,30001,30002,,,,,,
