strategy,replicate,run_seed,step,generation_before,number_phenotyped_before,action,action_name,reward,event
linear_q_learning,3,30003,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,3,30003,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,3,30003,21,7,50,2,Highest-PEV batch,1.468064739011039,generation_finalized
linear_q_learning,3,30003,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,3,30003,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,3,30003,24,8,50,2,Highest-PEV batch,1.7067334838010313,generation_finalized
linear_q_learning,4,30004,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,3,1,50,2,Highest-PEV batch,2.0999910291231743,generation_finalized
linear_q_learning,4,30004,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,6,2,50,2,Highest-PEV batch,2.0229688529367404,generation_finalized
linear_q_learning,4,30004,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,9,3,50,2,Highest-PEV batch,2.003132799603787,generation_finalized
linear_q_learning,4,30004,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,12,4,50,2,Highest-PEV batch,-0.29334921390332025,generation_finalized
linear_q_learning,4,30004,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,15,5,50,2,Highest-PEV batch,1.5481714863770788,generation_finalized
linear_q_learning,4,30004,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,18,6,50,2,Highest-PEV batch,0.9630520713602263,generation_finalized
linear_q_learning,4,30004,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,4,30004,21,7,50,2,Highest-PEV batch,-0.14642081213394845,generation_finalized
linear_q_learning,4,30004,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,4,30004,24,8,50,2,Highest-PEV batch,-0.18833372982786323,generation_finalized
linear_q_learning,5,30005,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,3,1,50,2,Highest-PEV batch,2.0740420062106586,generation_finalized
linear_q_learning,5,30005,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,6,2,50,2,Highest-PEV batch,2.0712122494672323,generation_finalized
linear_q_learning,5,30005,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,5,30005,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,9,3,50,2,Highest-PEV batch,2.046847931198881,generation_finalized
linear_q_learning,5,30005,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,5,30005,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,12,4,50,2,Highest-PEV batch,2.0193230894336724,generation_finalized
linear_q_learning,5,30005,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,5,30005,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,15,5,50,2,Highest-PEV batch,1.6185026871709047,generation_finalized
linear_q_learning,5,30005,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,5,30005,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,18,6,50,2,Highest-PEV batch,2.0212671966589575,generation_finalized
linear_q_learning,5,30005,19,7,0,0,Random batch,0.0,phenotype_batch
